Messung;Datum;Beginn;Minuten;Beutel_450g;Naht_offen;Display_Grad_C;Siegelzeit_s;Takt_Anzeige;Charge;Bediener
P01;2026-08-18;10:00;10;55;4;170;1,0;5,5;F260728B;M. Brandt
P02;2026-08-18;10:10;10;55;5;170;1,0;5,5;F260728B;M. Brandt
P03;2026-08-18;10:20;10;55;4;170;1,0;5,5;F260728B;M. Brandt
P04;2026-08-18;10:30;10;55;3;170;1,0;5,5;F260728B;M. Brandt
P05;2026-08-18;10:40;10;55;4;170;1,0;5,5;F260728B;M. Brandt
P06;2026-08-18;10:50;10;55;3;170;1,0;5,5;F260728B;M. Brandt
P07;2026-08-19;10:00;10;55;5;170;1,0;5,5;F260728B;M. Brandt
P08;2026-08-19;10:10;10;55;4;170;1,0;5,5;F260728B;M. Brandt
P09;2026-08-19;10:20;10;55;5;170;1,0;5,5;F260728B;M. Brandt
P10;2026-08-19;10:30;10;55;2;170;1,0;5,5;F260728B;M. Brandt
P11;2026-08-19;10:40;10;55;3;170;1,0;5,5;F260728B;M. Brandt
P12;2026-08-19;10:50;10;55;2;170;1,0;5,5;F260728B;M. Brandt
P13;2026-08-20;10:00;10;55;3;175;1,0;5,5;F260728B;J. Voigt
P14;2026-08-20;10:10;10;55;4;175;1,0;5,5;F260728B;J. Voigt
P15;2026-08-20;10:20;10;55;3;175;1,0;5,5;F260728B;J. Voigt
P16;2026-08-20;10:30;10;55;4;175;1,0;5,5;F260728B;J. Voigt
P17;2026-08-20;10:40;10;55;3;175;1,0;5,5;F260728B;J. Voigt
P18;2026-08-20;10:50;10;55;4;175;1,0;5,5;F260728B;J. Voigt
