Beleg;Gewerk;Buchungsdatum;Netto_EUR;USt_EUR
WH-01-1;W01;2026-07-28;38.000,00;7.220,00
WH-01-2;W01;2026-08-28;57.000,00;10.830,00
WH-02-1;W02;2026-07-28;72.000,00;13.680,00
WH-02-2;W02;2026-08-28;108.000,00;20.520,00
WH-03-1;W03;2026-08-28;384.000,00;72.960,00
WH-03-2;W03;2026-09-25;96.000,00;18.240,00
WH-04-1;W04;2026-08-28;136.000,00;25.840,00
WH-04-2;W04;2026-09-25;64.000,00;12.160,00
WH-05-1;W05;2026-07-28;54.000,00;10.260,00
WH-05-2;W05;2026-08-28;86.000,00;16.340,00
WH-07-1;W07;2026-07-28;12.000,00;2.280,00
WH-07-2;W07;2026-08-28;18.000,00;3.420,00
WH-08-1;W08;2026-07-28;42.000,00;7.980,00
WH-08-2;W08;2026-08-28;33.000,00;6.270,00
