Referenz;Valuta;Empfänger;Bezug;Soll_EUR
EB-0916A;2026-09-16;Steinwerk Leopoldshöhe GmbH;ST-260902 / ST-260911;2.856,00
EB-0917;2026-09-17;Holzhandel Bega GmbH;HB-260903;2.618,00
EB-0918A;2026-09-18;Elektrohandel Werre GmbH;EL-260904;892,50
EB-0918B;2026-09-18;Mietpark Rethmar GmbH;MR-260907;500,00
EB-0921A;2026-09-21;Gerüstvermietung Exter GmbH;GE-260908;1.309,00
EB-0921B;2026-09-21;Entsorgung Kalletal GmbH;EN-260909;571,20
EB-0922;2026-09-22;Transport Lemgo GmbH;TR-260912;499,80
EB-0923;2026-09-23;Vermessung Werretal GmbH;VW-260913;1.071,00
EB-0924;2026-09-24;Miettechnik Ravensberg GmbH;MT-260914;285,60
EB-0925;2026-09-25;Dachbaustoffe Zander GmbH;DZ-260915;1.178,10
