Beleg;Datum;Kreditor;Projekt;Netto_EUR;USt_EUR;Belegbetrag_EUR;Datei
ST-260902;2026-09-02;51001;BS26-01;1.800,00;342,00;2.142,00;31_Rechnung_ST_260902.pdf
HB-260903;2026-09-03;51002;BS26-01;2.400,00;456,00;2.856,00;32_Rechnung_HB_260903.pdf
EL-260904;2026-09-04;51003;BS26-02;750,00;142,50;892,50;33_Rechnung_EL_260904.pdf
TB-260905;2026-09-05;51004;BS26-01;4.800,00;0,00;4.800,00;34_Rechnung_TB_260905.pdf
SA-260906;2026-09-06;51005;BS26-02;3.200,00;0,00;3.200,00;35_Rechnung_SA_260906.pdf
MR-260907;2026-09-07;51006;BS26-01;900,00;171,00;1.071,00;36_Rechnung_MR_260907.pdf
GE-260908;2026-09-08;51007;BS26-01;1.100,00;209,00;1.309,00;37_Rechnung_GE_260908.pdf
EN-260909;2026-09-09;51008;BS26-02;480,00;91,20;571,20;38_Rechnung_EN_260909.pdf
TP-260910;2026-09-10;51009;BS26-02;1.200,00;228,00;1.428,00;39_Rechnung_TP_260910.pdf
ST-260911;2026-09-11;51001;BS26-01;600,00;114,00;714,00;40_Rechnung_ST_260911.pdf
TR-260912;2026-09-12;51010;BS26-01;420,00;79,80;499,80;41_Rechnung_TR_260912.pdf
VW-260913;2026-09-13;51011;BS26-02;950,00;180,50;1.130,50;42_Rechnung_VW_260913.pdf
MT-260914;2026-09-14;51012;BS26-02;240,00;45,60;285,60;43_Rechnung_MT_260914.pdf
DZ-260915;2026-09-15;51013;BS26-01;990,00;188,10;1.178,10;44_Rechnung_DZ_260915.pdf
HB-G260916;2026-09-16;51002;BS26-01;-200,00;-38,00;-238,00;45_Rechnungskorrektur_HB_G260916.pdf
VW-G260919;2026-09-19;51011;BS26-02;-50,00;-9,50;-59,50;46_Rechnungskorrektur_VW_G260919.pdf
