Beleg;Kreditor;Fällig;Rechnung_EUR;Korrektur_EUR;Zahlung_EUR;Offen_EUR;Status
ST-260902;51001;2026-09-16;2.142,00;0,00;2.142,00;0,00;ausgeglichen
HB-260903;51002;2026-09-17;2.856,00;238,00;2.618,00;0,00;ausgeglichen
EL-260904;51003;2026-09-18;892,50;0,00;892,50;0,00;ausgeglichen
TB-260905;51004;2026-09-19;4.800,00;0,00;0,00;4.800,00;Bauabzug prüfen
SA-260906;51005;2026-09-20;3.200,00;0,00;0,00;3.200,00;Bauabzug prüfen
MR-260907;51006;2026-09-21;1.071,00;0,00;500,00;571,00;Restzahlung offen
GE-260908;51007;2026-09-22;1.309,00;0,00;1.309,00;0,00;ausgeglichen
EN-260909;51008;2026-09-23;571,20;0,00;571,20;0,00;ausgeglichen
TP-260910;51009;2026-09-24;1.428,00;0,00;0,00;1.428,00;Leistungsfreigabe fehlt
ST-260911;51001;2026-09-25;714,00;0,00;714,00;0,00;ausgeglichen
TR-260912;51010;2026-09-26;499,80;0,00;499,80;0,00;ausgeglichen
VW-260913;51011;2026-09-27;1.130,50;59,50;1.071,00;0,00;ausgeglichen
MT-260914;51012;2026-09-28;285,60;0,00;285,60;0,00;ausgeglichen
DZ-260915;51013;2026-09-29;1.178,10;0,00;1.178,10;0,00;ausgeglichen
