Satz;Datum;Beleg;Konto;Soll_EUR;Haben_EUR;Schlüssel;Projekt
ST-260902;2026-09-02;ST-260902;5000;1.800,00;0,00;V19;BS26-01
ST-260902;2026-09-02;ST-260902;1400;342,00;0,00;V19;BS26-01
ST-260902;2026-09-02;ST-260902;51001;0,00;2.142,00;V19;BS26-01
HB-260903;2026-09-03;HB-260903;5000;2.400,00;0,00;V19;BS26-01
HB-260903;2026-09-03;HB-260903;1400;456,00;0,00;V19;BS26-01
HB-260903;2026-09-03;HB-260903;51002;0,00;2.856,00;V19;BS26-01
EL-260904;2026-09-04;EL-260904;5000;750,00;0,00;V19;BS26-02
EL-260904;2026-09-04;EL-260904;1400;142,50;0,00;V19;BS26-02
EL-260904;2026-09-04;EL-260904;51003;0,00;892,50;V19;BS26-02
TB-260905;2026-09-05;TB-260905;5010;4.800,00;0,00;RC19;BS26-01
TB-260905;2026-09-05;TB-260905;51004;0,00;4.800,00;RC19;BS26-01
TB-260905;2026-09-05;TB-260905;1401;912,00;0,00;RC19;BS26-01
TB-260905;2026-09-05;TB-260905;1771;0,00;912,00;RC19;BS26-01
SA-260906;2026-09-06;SA-260906;5010;3.200,00;0,00;RC19;BS26-02
SA-260906;2026-09-06;SA-260906;51005;0,00;3.200,00;RC19;BS26-02
SA-260906;2026-09-06;SA-260906;1401;608,00;0,00;RC19;BS26-02
SA-260906;2026-09-06;SA-260906;1771;0,00;608,00;RC19;BS26-02
MR-260907;2026-09-07;MR-260907;5020;900,00;0,00;V19;BS26-01
MR-260907;2026-09-07;MR-260907;1400;171,00;0,00;V19;BS26-01
MR-260907;2026-09-07;MR-260907;51006;0,00;1.071,00;V19;BS26-01
GE-260908;2026-09-08;GE-260908;5020;1.100,00;0,00;V19;BS26-01
GE-260908;2026-09-08;GE-260908;1400;209,00;0,00;V19;BS26-01
GE-260908;2026-09-08;GE-260908;51007;0,00;1.309,00;V19;BS26-01
EN-260909;2026-09-09;EN-260909;5030;480,00;0,00;V19;BS26-02
EN-260909;2026-09-09;EN-260909;1400;91,20;0,00;V19;BS26-02
EN-260909;2026-09-09;EN-260909;51008;0,00;571,20;V19;BS26-02
TP-260910;2026-09-10;TP-260910;5040;1.200,00;0,00;V19;BS26-02
TP-260910;2026-09-10;TP-260910;1400;228,00;0,00;V19;BS26-02
TP-260910;2026-09-10;TP-260910;51009;0,00;1.428,00;V19;BS26-02
ST-260911;2026-09-11;ST-260911;5000;600,00;0,00;V19;BS26-01
ST-260911;2026-09-11;ST-260911;1400;114,00;0,00;V19;BS26-01
ST-260911;2026-09-11;ST-260911;51001;0,00;714,00;V19;BS26-01
TR-260912;2026-09-12;TR-260912;5050;420,00;0,00;V19;BS26-01
TR-260912;2026-09-12;TR-260912;1400;79,80;0,00;V19;BS26-01
TR-260912;2026-09-12;TR-260912;51010;0,00;499,80;V19;BS26-01
VW-260913;2026-09-13;VW-260913;5060;950,00;0,00;V19;BS26-02
VW-260913;2026-09-13;VW-260913;1400;180,50;0,00;V19;BS26-02
VW-260913;2026-09-13;VW-260913;51011;0,00;1.130,50;V19;BS26-02
MT-260914;2026-09-14;MT-260914;5020;240,00;0,00;V19;BS26-02
MT-260914;2026-09-14;MT-260914;1400;45,60;0,00;V19;BS26-02
MT-260914;2026-09-14;MT-260914;51012;0,00;285,60;V19;BS26-02
DZ-260915;2026-09-15;DZ-260915;5000;990,00;0,00;V19;BS26-01
DZ-260915;2026-09-15;DZ-260915;1400;188,10;0,00;V19;BS26-01
DZ-260915;2026-09-15;DZ-260915;51013;0,00;1.178,10;V19;BS26-01
HB-G260916;2026-09-16;HB-G260916;51002;238,00;0,00;V19;BS26-01
HB-G260916;2026-09-16;HB-G260916;5000;0,00;200,00;V19;BS26-01
HB-G260916;2026-09-16;HB-G260916;1400;0,00;38,00;V19;BS26-01
VW-G260919;2026-09-19;VW-G260919;51011;59,50;0,00;V19;BS26-02
VW-G260919;2026-09-19;VW-G260919;5060;0,00;50,00;V19;BS26-02
VW-G260919;2026-09-19;VW-G260919;1400;0,00;9,50;V19;BS26-02
EB-0916A;2026-09-16;ST-260902;51001;2.142,00;0,00;OHNE;BS26-01
EB-0916A;2026-09-16;ST-260902;1201;0,00;2.142,00;OHNE;BS26-01
EB-0916A;2026-09-16;ST-260911;51001;714,00;0,00;OHNE;BS26-01
EB-0916A;2026-09-16;ST-260911;1201;0,00;714,00;OHNE;BS26-01
EB-0917;2026-09-17;HB-260903;51002;2.618,00;0,00;OHNE;BS26-01
EB-0917;2026-09-17;HB-260903;1201;0,00;2.618,00;OHNE;BS26-01
EB-0918A;2026-09-18;EL-260904;51003;892,50;0,00;OHNE;BS26-02
EB-0918A;2026-09-18;EL-260904;1201;0,00;892,50;OHNE;BS26-02
EB-0918B;2026-09-18;MR-260907;51006;500,00;0,00;OHNE;BS26-01
EB-0918B;2026-09-18;MR-260907;1201;0,00;500,00;OHNE;BS26-01
EB-0921A;2026-09-21;GE-260908;51007;1.309,00;0,00;OHNE;BS26-01
EB-0921A;2026-09-21;GE-260908;1201;0,00;1.309,00;OHNE;BS26-01
EB-0921B;2026-09-21;EN-260909;51008;571,20;0,00;OHNE;BS26-02
EB-0921B;2026-09-21;EN-260909;1201;0,00;571,20;OHNE;BS26-02
EB-0922;2026-09-22;TR-260912;51010;499,80;0,00;OHNE;BS26-01
EB-0922;2026-09-22;TR-260912;1201;0,00;499,80;OHNE;BS26-01
EB-0923;2026-09-23;VW-260913;51011;1.071,00;0,00;OHNE;BS26-02
EB-0923;2026-09-23;VW-260913;1201;0,00;1.071,00;OHNE;BS26-02
EB-0924;2026-09-24;MT-260914;51012;285,60;0,00;OHNE;BS26-02
EB-0924;2026-09-24;MT-260914;1201;0,00;285,60;OHNE;BS26-02
EB-0925;2026-09-25;DZ-260915;51013;1.178,10;0,00;OHNE;BS26-01
EB-0925;2026-09-25;DZ-260915;1201;0,00;1.178,10;OHNE;BS26-01
