Konto;Bezeichnung
1201;Projektkonto 471109
1400;Vorsteuer aus Rechnungen 19 Prozent
1401;Vorsteuer aus Bauleistungen nach Paragraf 13b
1771;Umsatzsteuer aus Bauleistungen nach Paragraf 13b
5000;Baumaterial
5010;Ausgeführte Baugewerke
5020;Geräte- und Gerüstmiete
5030;Entsorgung
5040;Planung
5050;Transport
5060;Vermessung
51001;Steinwerk Leopoldshöhe GmbH
51002;Holzhandel Bega GmbH
51003;Elektrohandel Werre GmbH
51004;Trockenbau Vogt GmbH
51005;Sanitär Ahle GmbH
51006;Mietpark Rethmar GmbH
51007;Gerüstvermietung Exter GmbH
51008;Entsorgung Kalletal GmbH
51009;Planungsbüro Retzer GmbH
51010;Transport Lemgo GmbH
51011;Vermessung Werretal GmbH
51012;Miettechnik Ravensberg GmbH
51013;Dachbaustoffe Zander GmbH
