Datum;Angebot;Besucher;Betriebsform;Ort;Vermerk
2025-09-06;Lesung Herbstbeginn;84;Sitzplätze;Mietsaal;gez. Ruben Kersten
2025-09-13;Werkstatt Holz;16;Kurs;Werkraum;2 Betreuende zusätzlich
2025-09-20;Akustikabend;112;Sitzplätze;Mietsaal;18 Klapptische nicht benutzt
2025-10-04;Konzert Nordlicht;148;Stehplätze;Mietsaal;Zahl aus Einlasszählung
2025-10-11;Werkstatt Papier;18;Kurs;Werkraum;2 Betreuende zusätzlich
2025-10-18;Bewegungsgruppe;24;Kurs;Mietsaal;Ohne Bestuhlung
2025-11-01;Lesung Stadtgeschichten;96;Sitzplätze;Mietsaal;"90 eigene; 10 geliehene Stühle"
2025-11-08;Konzert Abendwind;157;Stehplätze;Mietsaal;Zahl aus Kartenverkauf
2025-11-15;Werkstatt Holz;17;Kurs;Werkraum;2 Betreuende zusätzlich
2025-12-06;Wintermarkt;210;Wechselnde Besucher;Mietsaal und Hof;"Tageszählung; nicht gleichzeitig"
2025-12-13;Lesung Winter;118;Sitzplätze;Mietsaal;28 Stühle geliehen
2026-01-10;Bewegungsgruppe;22;Kurs;Mietsaal;1 Leitung zusätzlich
2026-01-17;Werkstatt Papier;15;Kurs;Werkraum;2 Betreuende zusätzlich
2026-01-24;Konzert Nordlicht;152;Stehplätze;Mietsaal;Zahl aus Einlasszählung
2026-02-07;Lesung Februar;108;Sitzplätze;Mietsaal;Auszug erstellt 10.02.2026
