Stand;Plan;Zone;Nutzung;Rasterfläche m²;Hinweis
05.06.2026;E-03-EG;EG-01;Behandlung 1;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-EG;EG-02;Behandlung 2;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-EG;EG-03;Diagnostik;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-EG;EG-04;Warten Nord;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-EG;EG-05;Behandlung 3;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-EG;EG-06;Anmeldung und Warten;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-EG;EG-07;Nebenräume;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-EG;EG-08;Treppe und Aufzug;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-EG;EG-09;Sanitär;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-EG;EG-10;Technik;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-EG;EG-11;Flur und Verteilung;60;30 mal 2 m Raster
05.06.2026;E-03-OG;OG-01;Sprechzimmer 4;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-OG;OG-02;Sprechzimmer 5;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-OG;OG-03;Therapie;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-OG;OG-04;Personal;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-OG;OG-05;Besprechung;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-OG;OG-06;Therapie Nebenbereich;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-OG;OG-07;Material;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-OG;OG-08;Treppe und Aufzug;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-OG;OG-09;Sanitär;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-OG;OG-10;Verwaltung;48;"6 mal 8 m Außenraster; keine NRF"
05.06.2026;E-03-OG;OG-11;Flur und Verteilung;60;30 mal 2 m Raster
05.06.2026;E-03;Gesamt;Zwei Ebenen;1080;Wand- und Verteilanteile enthalten
05.06.2026;L-04;K-07;Schacht;3.6;Bereits in Rasterzone enthalten
05.06.2026;AS-26-03;Bearbeitung;Janne Heller;;An Mühlenanger Immobilien KG
