Datum,Witterung,Beschäftigte Los 1,Tagesbericht BH-21-04,Aufgenommen und gezeichnet
2023-08-21,trocken 22 Grad,5,Baustelle eingerichtet; Haus geräumt. Zaun und Staubschutz kontrolliert. Keine Veranstaltung im Haus.,Hartwig / Albrecht
2023-08-22,trocken 23 Grad,5,Rückbau Boden und Einbauten begonnen. Saalsockel unverändert fleckig. Keine Putzfreigabe erteilt.,Hartwig
2023-08-24,bewölkt 21 Grad,4,Suchbereiche an Nordwand markiert. Flächige Ortung noch nicht dokumentiert. Hauswart will Altunterlagen beschaffen.,Hartwig / Winter
2023-08-28,leichter Regen 18 Grad,5,Aushub Ostfundament begonnen. Graben gegen Oberflächenwasser gesichert. Keine Leitung an den beiden Suchstellen sichtbar.,Albrecht
2023-09-05,trocken 20 Grad,5,Leitung im Westgraben 08:10 freigelegt. Aushub dort angehalten. Zwei Beschäftigte in Rückbau umgesetzt; drei im Grabenbereich mit Sicherung und Klärung.,Hartwig / Albrecht
2023-09-06,trocken 23 Grad,5,Bagger am Westgraben nicht eingesetzt. Fahrer bei Sicherung und Materialtransport. Zwei Facharbeiter im Saalrückbau. Einzelne Stillstandsstunden nicht getrennt erfasst.,Albrecht
2023-09-07,trocken 24 Grad,4,Beton für Westabschnitt abbestellt. Innenrückbau fortgesetzt. Gerät auf Baustelle. Stundenliste zur Bereitschaft noch angefordert.,Hartwig
2023-09-11,trocken 22 Grad,3,Leitung durch Wasserprobe dem Nebengebäude zugeordnet. Hauswart bestätigt privaten Pumpenstrang. Noch keine Umlegung begonnen.,Hartwig / Winter
2023-09-15,bewölkt 19 Grad,4,Auftrag N01.1 bis N01.4 vom Vorstand eingegangen. Geräteposition ausdrücklich nicht bestätigt. Materialabruf für Montag.,Hartwig / Albrecht
2023-09-18,Regen 17 Grad,4,Zusätzlichen Leitungsgraben geöffnet. Menge 4 m³ separat aufgenommen. Keine Vermischung mit Fundamentaushub.,Albrecht
2023-09-19,trocken 18 Grad,4,14 m Rohrleitung umgelegt; Anschlussarbeiten zwei Personen je acht Stunden. Sicht- und Durchlaufprobe ohne Auffälligkeit.,Hartwig / Albrecht
2023-09-20,trocken 18 Grad,5,"Gründungsabschnitt vor Betonage kontrolliert. Fundamentvolumen 25,2 m³. Standsicherheitsunterlagen liegen laut Vorlagebestätigung vom 17.08.2023 bei Bauaufsicht.",Hartwig / Steinbach
2023-10-03,trocken 15 Grad,3,Sockelabdichtung im freigelegten Bereich 42 m². Schutzlage abschnittsweise sichtbar. Anschluss an Türbereich noch offen. Innenputz noch nicht begonnen.,Hartwig / Albrecht
2023-10-12,bewölkt 14 Grad,5,Mauerwerk Anbau begonnen. Erste Abschlagszahlung 35.700 EUR brutto laut Vereinsbestätigung eingegangen.,Albrecht
2023-11-02,Regen 11 Grad,4,Dachtragwerk und Anschlüsse zum Bestand kontrolliert. Bewegungsfuge vorhanden. Dachabdichtung wegen Regen verschoben.,Hartwig
2023-11-08,trocken 10 Grad,4,Dachabdichtung abgeschlossen. Durchdringungen sichtbar geprüft. Regenwasseranschluss noch provisorisch.,Hartwig / Albrecht
2023-11-15,trocken 8 Grad,3,Außentüren aufgemessen. Rinnenhöhe nach D-12 besprochen. TGA-04 nicht als Gebäudeplan freigegeben.,Hartwig / Albrecht
2023-12-04,Frost 0 Grad,3,Außenarbeiten ruhen; Installationen innen fortgesetzt. Gebäudebeheizung provisorisch. Wandfeuchte nicht als Masseprozent bestimmt.,Albrecht
2023-12-18,bewölkt 5 Grad,3,Zweite Abschlagszahlung 47.600 EUR brutto bestätigt. Rinnenmaterial eingelagert. Innenputzbereich trocken erscheinend.,Albrecht
2024-01-16,trocken 4 Grad,4,"Innenputz im Saal erneuert. Relative Sockelanzeige 57 bis 64, obere Vergleichsstelle 33 bis 37. Keine Laborprobe beauftragt.",Hartwig / Albrecht
2024-02-06,bewölkt 8 Grad,4,Rampe und Anschlussstreifen hergestellt. Höhen vor Einbau Rinne besprochen; gesondertes Nivellementblatt nicht in Tagesmappe.,Albrecht
2024-02-16,trocken 10 Grad,3,"Schlussaufmaß AM-07 gemeinsam aufgenommen. Rinne 9,4 m; Rampenfläche 21,45 m² einschließlich Anschlussstreifen. Keine Anerkennung von N01.5.",Hartwig / Albrecht
2024-02-29,trocken 9 Grad,2,Rinnenanschluss und Türen eingebaut. Durchlauf mit Wasser ohne sichtbaren Rückstau bei diesem Versuch. Menge und Dauer nicht notiert.,Albrecht
2024-03-11,bewölkt 11 Grad,2,Rechnungsprüfung abgeschlossen. Geräteposition 1.240 EUR netto weiterhin ungeklärt. Einstellarbeiten an T-03 offen.,Hartwig
2024-03-15,trocken 13 Grad,2,Fertigmeldung Los 1. Gemeinsame Abnahme für 18.03. vereinbart. Keine Behinderung mehr angezeigt.,Albrecht
2024-03-18,trocken 12 Grad,2,Förmliche Abnahme Los 1 mit M-01 und M-02. Kein Beregnungsversuch. Saalwand optisch ohne neue Ablösung.,Hartwig / Döring / Albrecht
