Buchungsdatum;Zeitraum;Empfänger;Verwendungszweck;Betrag EUR;Konto;Beleg
15.01.2025;Januar 2025;WEG-Verwaltung Grunewald & Partner;Hausgeld Schöneberger Ufer 41 WE 12;-368,00;Girokonto Berliner Sparkasse;Dauerauftrag
17.02.2025;Februar 2025;WEG-Verwaltung Grunewald & Partner;Hausgeld Schöneberger Ufer 41 WE 12;-368,00;Girokonto Berliner Sparkasse;Dauerauftrag
17.03.2025;März 2025;WEG-Verwaltung Grunewald & Partner;Hausgeld Schöneberger Ufer 41 WE 12;-368,00;Girokonto Berliner Sparkasse;Dauerauftrag
15.04.2025;April 2025;WEG-Verwaltung Grunewald & Partner;Hausgeld Schöneberger Ufer 41 WE 12;-368,00;Girokonto Berliner Sparkasse;Dauerauftrag
15.05.2025;Mai 2025;WEG-Verwaltung Grunewald & Partner;Hausgeld Schöneberger Ufer 41 WE 12;-368,00;Girokonto Berliner Sparkasse;Dauerauftrag
16.06.2025;Juni 2025;WEG-Verwaltung Grunewald & Partner;Hausgeld Schöneberger Ufer 41 WE 12;-368,00;Girokonto Berliner Sparkasse;Dauerauftrag
30.06.2025;Abrechnung 2024;WEG-Verwaltung Grunewald & Partner;Nachzahlung Hausgeldabrechnung 2024 WE 12;-214,37;Girokonto Berliner Sparkasse;Rechnung V-2024-12
15.07.2025;Juli 2025;WEG-Verwaltung Grunewald & Partner;Hausgeld Schöneberger Ufer 41 WE 12 neu ab 07-2025;-380,00;Girokonto Berliner Sparkasse;Dauerauftrag angepasst
15.08.2025;August 2025;WEG-Verwaltung Grunewald & Partner;Hausgeld Schöneberger Ufer 41 WE 12;-380,00;Girokonto Berliner Sparkasse;Dauerauftrag
15.09.2025;September 2025;WEG-Verwaltung Grunewald & Partner;Hausgeld Schöneberger Ufer 41 WE 12;-380,00;Girokonto Berliner Sparkasse;Dauerauftrag
15.10.2025;Oktober 2025;WEG-Verwaltung Grunewald & Partner;Hausgeld Schöneberger Ufer 41 WE 12;-380,00;Girokonto Berliner Sparkasse;Dauerauftrag
17.11.2025;November 2025;WEG-Verwaltung Grunewald & Partner;Hausgeld Schöneberger Ufer 41 WE 12;-380,00;Girokonto Berliner Sparkasse;Dauerauftrag
15.12.2025;Dezember 2025;WEG-Verwaltung Grunewald & Partner;Hausgeld Schöneberger Ufer 41 WE 12;-380,00;Girokonto Berliner Sparkasse;Dauerauftrag
09.12.2025;Winterdienst;Hausmeisterservice Klawitter;Sonderumlage Winterdienst 2025-26 Beschluss ETV 20.11.2025;-96,50;Girokonto Berliner Sparkasse;Rechnung 2025-1188
15.01.2026;Januar 2026;WEG-Verwaltung Grunewald & Partner;Hausgeld Schöneberger Ufer 41 WE 12;-380,00;Girokonto Berliner Sparkasse;Dauerauftrag
16.02.2026;Februar 2026;WEG-Verwaltung Grunewald & Partner;Hausgeld Schöneberger Ufer 41 WE 12;-380,00;Girokonto Berliner Sparkasse;Dauerauftrag
16.03.2026;März 2026;WEG-Verwaltung Grunewald & Partner;Hausgeld Schöneberger Ufer 41 WE 12;-380,00;Girokonto Berliner Sparkasse;Dauerauftrag
15.04.2026;April 2026;WEG-Verwaltung Grunewald & Partner;Hausgeld Schöneberger Ufer 41 WE 12;-380,00;Girokonto Berliner Sparkasse;Dauerauftrag
22.04.2026;Ablesung;Messdienst Kalorimeta Berlin;Zwischenablesung Wärmemengenzähler wegen Leerstand;-38,20;Girokonto Berliner Sparkasse;Rechnung ZA-88412
