Belegnummer;Datum;Aussteller;Bezeichnung;Brutto_EUR;Datei;Zahlungsdatum
GO73-HM-01;2025-01-31;Ringhof Hausdienst GmbH;Hausservice Januar 2025;800.0;belege/GO73-HM-01_Hausservice.pdf;2025-02-10
GO73-EL-01;2025-01-31;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus Januar 2025;115.0;belege/GO73-EL-01_Allgemeinstrom.pdf;2025-02-10
GO73-HM-02;2025-02-28;Ringhof Hausdienst GmbH;Hausservice Februar 2025;800.0;belege/GO73-HM-02_Hausservice.pdf;2025-03-10
GO73-EL-02;2025-02-28;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus Februar 2025;115.0;belege/GO73-EL-02_Allgemeinstrom.pdf;2025-03-10
GO73-HM-03;2025-03-31;Ringhof Hausdienst GmbH;Hausservice März 2025;800.0;belege/GO73-HM-03_Hausservice.pdf;2025-04-10
GO73-EL-03;2025-03-31;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus März 2025;115.0;belege/GO73-EL-03_Allgemeinstrom.pdf;2025-04-10
GO73-HM-04;2025-04-30;Ringhof Hausdienst GmbH;Hausservice April 2025;800.0;belege/GO73-HM-04_Hausservice.pdf;2025-05-10
GO73-EL-04;2025-04-30;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus April 2025;115.0;belege/GO73-EL-04_Allgemeinstrom.pdf;2025-05-10
GO73-HM-05;2025-05-31;Ringhof Hausdienst GmbH;Hausservice Mai 2025;800.0;belege/GO73-HM-05_Hausservice.pdf;2025-06-10
GO73-EL-05;2025-05-31;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus Mai 2025;115.0;belege/GO73-EL-05_Allgemeinstrom.pdf;2025-06-10
GO73-HM-06;2025-06-30;Ringhof Hausdienst GmbH;Hausservice Juni 2025;800.0;belege/GO73-HM-06_Hausservice.pdf;2025-07-10
GO73-EL-06;2025-06-30;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus Juni 2025;115.0;belege/GO73-EL-06_Allgemeinstrom.pdf;2025-07-10
GO73-HM-07;2025-07-31;Ringhof Hausdienst GmbH;Hausservice Juli 2025;800.0;belege/GO73-HM-07_Hausservice.pdf;2025-08-10
GO73-EL-07;2025-07-31;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus Juli 2025;115.0;belege/GO73-EL-07_Allgemeinstrom.pdf;2025-08-10
GO73-HM-08;2025-08-31;Ringhof Hausdienst GmbH;Hausservice August 2025;800.0;belege/GO73-HM-08_Hausservice.pdf;2025-09-10
GO73-EL-08;2025-08-31;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus August 2025;115.0;belege/GO73-EL-08_Allgemeinstrom.pdf;2025-09-10
GO73-HM-09;2025-09-30;Ringhof Hausdienst GmbH;Hausservice September 2025;800.0;belege/GO73-HM-09_Hausservice.pdf;2025-10-10
GO73-EL-09;2025-09-30;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus September 2025;115.0;belege/GO73-EL-09_Allgemeinstrom.pdf;2025-10-10
GO73-HM-10;2025-10-31;Ringhof Hausdienst GmbH;Hausservice Oktober 2025;800.0;belege/GO73-HM-10_Hausservice.pdf;2025-11-10
GO73-EL-10;2025-10-31;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus Oktober 2025;115.0;belege/GO73-EL-10_Allgemeinstrom.pdf;2025-11-10
GO73-HM-11;2025-11-30;Ringhof Hausdienst GmbH;Hausservice November 2025;800.0;belege/GO73-HM-11_Hausservice.pdf;2025-12-10
GO73-EL-11;2025-11-30;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus November 2025;115.0;belege/GO73-EL-11_Allgemeinstrom.pdf;2025-12-10
GO73-HM-12;2025-12-31;Ringhof Hausdienst GmbH;Hausservice Dezember 2025;800.0;belege/GO73-HM-12_Hausservice.pdf;2026-01-10
GO73-EL-12;2025-12-31;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus Dezember 2025;115.0;belege/GO73-EL-12_Allgemeinstrom.pdf;2026-01-10
GO73-WA-2025;2026-01-16;Berliner Wasserbetriebe;Wasser und Entwässerung 2025;2840.0;belege/GO73-WA-2025_Wasser.pdf;2026-01-26
GO73-MU-2025;2025-01-15;Berliner Stadtreinigungsbetriebe;Gebühren Abfallentsorgung 2025;2360.0;belege/GO73-MU-2025_Abfall.pdf;2025-01-25
GO73-ST-2025;2025-01-15;Berliner Stadtreinigungsbetriebe;Straßenreinigungsgebühren 2025;480.0;belege/GO73-ST-2025_Strassenreinigung.pdf;2025-01-25
GO73-VS-2025;2024-12-17;Berolina Sachversicherung AG;Beitragsrechnung Wohngebäude 2025;1980.0;belege/GO73-VS-2025_Versicherung.pdf;2024-12-27
GO73-AU-2025;2025-12-19;Aufzugswerk Berlin GmbH;Wartung Personenaufzug 2025;1428.0;belege/GO73-AU-2025_Aufzug.pdf;2025-12-29
GO73-SF-2025;2025-11-12;Schornsteinfegerbetrieb R. Pohl;Kehr- und Messarbeiten 2025;297.5;belege/GO73-SF-2025_Schornstein.pdf;2025-11-22
GO73-HW-2025;2025-09-25;Wärmekreis Berlin GmbH;Ölkesselwartung und Brennereinstellung;595.0;belege/GO73-HW-2025_Heizungswartung.pdf;2025-10-05
GO73-MD-2025;2026-02-10;Messpunkt Berlin GmbH;Messdienst und Gerätemiete 2025;952.0;belege/GO73-MD-2025_Messdienst.pdf;2026-02-20
GO73-HP-2025;2026-01-13;Lichtbogen Energie GmbH;Betriebsstrom Heizzentrale 2025;360.0;belege/GO73-HP-2025_Heizstrom.pdf;2026-01-23
GO73-GU-2025;2025-06-03;Ringhof Hausdienst GmbH;Gutschrift Reinigungseinsatz;-95.2;belege/GO73-GU-2025_Gutschrift.pdf;2025-06-13
GO73-TU-2025;2025-10-09;Schließtechnik Ahrens GmbH;Fahrradkeller: Tür und Schließzylinder;892.5;belege/GO73-TU-2025_Schloss.pdf;2025-10-19
GO73-LI-2025;2025-10-10;Elektro Klinker GmbH;Stromkasten Kellerflur: Abdeckung ersetzen;595.0;belege/GO73-LI-2025_Lichtreparatur.pdf;2025-10-20
GO73-MA-2025;2025-10-27;Malerbetrieb Weiß & Sohn;Kellerzugang: Ausbesserung und Anstrich;1428.0;belege/GO73-MA-2025_Maler.pdf;2025-11-06
GO73-OE-01;2025-02-12;Havel Brennstoffe GmbH;Heizöl EL schwefelarm;3675.0;belege/GO73-OE-01_Heizoel.pdf;2025-02-22
GO73-OE-02;2025-05-14;Havel Brennstoffe GmbH;Heizöl EL schwefelarm;1470.0;belege/GO73-OE-02_Heizoel.pdf;2025-05-24
GO73-OE-03;2025-10-16;Havel Brennstoffe GmbH;Heizöl EL schwefelarm;3060.0;belege/GO73-OE-03_Heizoel.pdf;2025-10-26
GO73-OE-2024;2024-12-16;Havel Brennstoffe GmbH;Heizöllieferung Dezember 2024;2160.0;belege/GO73-OE-2024_Vorjahreslieferung.pdf;2024-12-23
