Belegnummer;Datum;Aussteller;Bezeichnung;Brutto_EUR;Datei;Zahlungsdatum
EB84-HM-01;2025-01-31;Kiezwerk Hausservice GmbH;Hausservice Januar 2025;900.0;belege/EB84-HM-01_Hausservice.pdf;2025-02-10
EB84-EL-01;2025-01-31;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus Januar 2025;140.0;belege/EB84-EL-01_Allgemeinstrom.pdf;2025-02-10
EB84-HM-02;2025-02-28;Kiezwerk Hausservice GmbH;Hausservice Februar 2025;900.0;belege/EB84-HM-02_Hausservice.pdf;2025-03-10
EB84-EL-02;2025-02-28;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus Februar 2025;140.0;belege/EB84-EL-02_Allgemeinstrom.pdf;2025-03-10
EB84-HM-03;2025-03-31;Kiezwerk Hausservice GmbH;Hausservice März 2025;900.0;belege/EB84-HM-03_Hausservice.pdf;2025-04-10
EB84-EL-03;2025-03-31;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus März 2025;140.0;belege/EB84-EL-03_Allgemeinstrom.pdf;2025-04-10
EB84-HM-04;2025-04-30;Kiezwerk Hausservice GmbH;Hausservice April 2025;900.0;belege/EB84-HM-04_Hausservice.pdf;2025-05-10
EB84-EL-04;2025-04-30;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus April 2025;140.0;belege/EB84-EL-04_Allgemeinstrom.pdf;2025-05-10
EB84-HM-05;2025-05-31;Kiezwerk Hausservice GmbH;Hausservice Mai 2025;900.0;belege/EB84-HM-05_Hausservice.pdf;2025-06-10
EB84-EL-05;2025-05-31;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus Mai 2025;140.0;belege/EB84-EL-05_Allgemeinstrom.pdf;2025-06-10
EB84-HM-06;2025-06-30;Kiezwerk Hausservice GmbH;Hausservice Juni 2025;900.0;belege/EB84-HM-06_Hausservice.pdf;2025-07-10
EB84-EL-06;2025-06-30;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus Juni 2025;140.0;belege/EB84-EL-06_Allgemeinstrom.pdf;2025-07-10
EB84-HM-07;2025-07-31;Kiezwerk Hausservice GmbH;Hausservice Juli 2025;900.0;belege/EB84-HM-07_Hausservice.pdf;2025-08-10
EB84-EL-07;2025-07-31;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus Juli 2025;140.0;belege/EB84-EL-07_Allgemeinstrom.pdf;2025-08-10
EB84-HM-08;2025-08-31;Kiezwerk Hausservice GmbH;Hausservice August 2025;900.0;belege/EB84-HM-08_Hausservice.pdf;2025-09-10
EB84-EL-08;2025-08-31;Lichtbogen Energie GmbH;Strom Hauszugang und Treppenhaus August 2025;140.0;belege/EB84-EL-08_Allgemeinstrom.pdf;2025-09-10
EB84-HM-09;2025-09-30;Kiezwerk Hausservice GmbH;Hausservice September 2025;900.0;belege/EB84-HM-09_Hausservice.pdf;2025-10-10
