Einheit;Wohnfläche_m2;Heizkostenverteiler_Einheiten;Warmwasser_m3;Zeitraum;Messstelle
WE01;96;6715;24.7;01.01.2025 bis 31.12.2025;EB84-W01
WE02;96;7030;26.4;01.01.2025 bis 31.12.2025;EB84-W02
WE03;102;7345;28.1;01.01.2025 bis 31.12.2025;EB84-W03
WE04;98;7660;29.8;01.01.2025 bis 31.12.2025;EB84-W04
WE05;100;7975;31.5;01.01.2025 bis 31.12.2025;EB84-W05
WE06;100;8290;33.2;01.01.2025 bis 31.12.2025;EB84-W06
WE07;108;8605;34.9;01.01.2025 bis 31.12.2025;EB84-W07
WE08;100;8920;36.6;01.01.2025 bis 31.12.2025;EB84-W08
WE09;96;9235;38.3;01.01.2025 bis 31.12.2025;EB84-W09
WE10;98;9550;40.0;01.01.2025 bis 31.12.2025;EB84-W10
WE11;102;9865;41.7;01.01.2025 bis 31.12.2025;EB84-W11
WE12;104;10180;43.4;01.01.2025 bis 31.12.2025;EB84-W12
