Probe_ID;Zeitpunkt;Rezept;Temperatur_C;Soll_g;Mittel_30_Becher_g;Minimum_g;Maximum_g;Dosiertakte_min;Fehlbilder_von_80;Bemerkung
P01;2026-09-03T09:00:00+02:00;500g;6,2;500;501,2;496,5;505,1;88;0;Start nach Entlüften
P02;2026-09-03T09:10:00+02:00;500g;6,4;500;501,0;495,8;506,2;90;0;weiße Deckel
P03;2026-09-03T09:20:00+02:00;500g;6,5;500;501,5;496,2;506,7;90;1;Reflex am Siegelrand
P04;2026-09-03T09:30:00+02:00;500g;6,7;500;502,1;497,0;507,2;92;1;ein Becher über 507 g
P05;2026-09-03T09:40:00+02:00;500g;6,8;500;501,8;496,0;506,8;92;0;Beleuchtung geändert
P06;2026-09-03T09:50:00+02:00;500g;7,0;500;501,7;495,7;506,1;90;0;stabil
P07;2026-09-03T10:00:00+02:00;500g;7,1;500;502,2;497,1;506,9;90;0;neues Gebinde
P08;2026-09-03T10:10:00+02:00;500g;7,3;500;502,4;496,4;507,4;92;2;Lufteintrag beobachtet
P09;2026-09-03T10:20:00+02:00;500g;7,5;500;501,9;496,0;506,8;90;0;entlüftet
P10;2026-09-03T10:30:00+02:00;500g;7,6;500;501,6;495,3;506,2;90;0;stabil
P11;2026-09-03T10:40:00+02:00;500g;7,8;500;501,8;496,6;506,7;90;1;Etikettenmuster schräg
P12;2026-09-03T10:50:00+02:00;500g;7,9;500;502,0;496,7;506,9;90;0;Ende vor Reinigung
