Protokoll;Datum;Seriennummer;Revision;Referenz_mm;Messung_1_mm;Messung_2_mm;Messung_3_mm;Temperatur_C;Versorgung_V;Aufwärmzeit_min;Prüferin
RK-QM-260918;2026-09-18;D400-C-260915-01;C;200.00;200.10;200.13;200.12;23.1;24.02;10;Anja Heil
RK-QM-260918;2026-09-18;D400-C-260915-02;C;200.00;200.15;200.17;200.16;23.1;24.02;10;Anja Heil
RK-QM-260918;2026-09-18;D400-C-260915-03;C;200.00;200.19;200.21;200.20;23.1;24.02;10;Anja Heil
RK-QM-260918;2026-09-18;D400-C-260915-04;C;200.00;200.24;200.26;200.25;23.1;24.02;10;Anja Heil
RK-QM-260918;2026-09-18;D400-C-260915-05;C;200.00;200.28;200.31;200.29;23.1;24.02;10;Anja Heil
RK-QM-260918;2026-09-18;D400-C-260915-06;C;200.00;200.11;200.14;200.12;23.1;24.02;10;Anja Heil
RK-QM-260918;2026-09-18;D400-C-260915-07;C;200.00;200.18;200.20;200.19;23.1;24.02;10;Anja Heil
RK-QM-260918;2026-09-18;D400-C-260915-08;C;200.00;200.22;200.24;200.23;23.1;24.02;10;Anja Heil
RK-QM-260918;2026-09-18;D400-C-260915-09;C;200.00;200.16;200.18;200.17;23.1;24.02;10;Anja Heil
RK-QM-260918;2026-09-18;D400-C-260915-10;C;200.00;200.25;200.28;200.27;23.1;24.02;10;Anja Heil
RK-QM-260918;2026-09-18;D400-C-260915-11;C;200.00;200.12;200.15;200.13;23.1;24.02;10;Anja Heil
RK-QM-260918;2026-09-18;D400-C-260915-12;C;200.00;200.17;200.19;200.18;23.1;24.02;10;Anja Heil
