Monat;M24_Stück;M48_Stück;Einkauf_M24_EUR;Einkauf_M48_EUR;Planstatus
2027-01;60;15;420,00;690,00;Erstbevorratung enthalten
2027-02;20;5;420,00;690,00;unverbindliche Mengenplanung
2027-03;22;5;420,00;690,00;unverbindliche Mengenplanung
2027-04;24;6;420,00;690,00;unverbindliche Mengenplanung
2027-05;26;7;420,00;690,00;unverbindliche Mengenplanung
2027-06;28;7;420,00;690,00;unverbindliche Mengenplanung
2027-07;18;4;420,00;690,00;unverbindliche Mengenplanung
2027-08;12;3;420,00;690,00;unverbindliche Mengenplanung
2027-09;30;8;420,00;690,00;unverbindliche Mengenplanung
2027-10;34;9;420,00;690,00;unverbindliche Mengenplanung
2027-11;36;10;420,00;690,00;unverbindliche Mengenplanung
2027-12;30;8;420,00;690,00;unverbindliche Mengenplanung
