Monat;Warengruppe;Fehlmenge_Stueck;Differenz_EUR
09.2025;Smartphone-Zubehoer;24;763.20
09.2025;Kopfhoerer;9;1247.10
09.2025;Speichermedien;31;1041.60
09.2025;Kabel und Adapter;55;412.50
10.2025;Smartphone-Zubehoer;31;985.80
10.2025;Kopfhoerer;11;1524.40
10.2025;Speichermedien;27;907.20
10.2025;Kabel und Adapter;61;457.50
11.2025;Smartphone-Zubehoer;42;1335.60
11.2025;Kopfhoerer;14;1940.20
11.2025;Speichermedien;35;1176.00
11.2025;Kabel und Adapter;72;540.00
12.2025;Smartphone-Zubehoer;49;1558.20
12.2025;Kopfhoerer;16;2217.60
12.2025;Speichermedien;33;1108.80
12.2025;Kabel und Adapter;68;510.00
01.2026;Smartphone-Zubehoer;27;858.60
01.2026;Kopfhoerer;8;1108.80
01.2026;Speichermedien;22;739.20
01.2026;Kabel und Adapter;44;330.00
