Datum;Position;Beleg;Betrag EUR;Anmerkung
11.05.2026;Standgeld Container TGHU7712049 Tag 1;SG-26-0411;95,00;Beginn laut Schreiben vom 9. Mai
12.05.2026;Standgeld Tag 2;SG-26-0411;95,00;
13.05.2026;Standgeld Tag 3;SG-26-0411;95,00;
14.05.2026;Standgeld Tag 4;SG-26-0411;95,00;zweite Beschau am selben Tag
14.05.2026;Beschaubegleitung 2. Öffnung 3.5 Std;BB-26-0298;332,50;Stundensatz 95,00
15.05.2026;Standgeld Tag 5;SG-26-0411;95,00;
16.05.2026;Standgeld Tag 6;SG-26-0411;95,00;Wochenende wird berechnet
17.05.2026;Standgeld Tag 7;SG-26-0411;95,00;
18.05.2026;Standgeld Tag 8;SG-26-0411;95,00;Stand Zwischenabrechnung
18.05.2026;Lagergeld Terminal Staffel 1 anteilig;extern noch ohne Beleg;418,00;Weiterbelastung Terminalgesellschaft angekündigt
18.05.2026;Dokumentenpauschale Nachreichungen;DP-26-0142;60,00;zwei Vorgänge
