monat;verkaufskanal;bonanzahl;brutto_eur;umsatzsteuer_eur;rabatte_eur;stornos_anzahl;standortnummer
2025-01;Restaurant;2214;81254,60;9132,44;1288,00;642;117
2025-01;Abholung;618;21988,20;2473,18;316,00;91;117
2025-01;Lieferplattform;744;26617,80;2992,44;684,00;108;117
2025-02;Restaurant;2076;76280,40;8579,05;1144,00;598;117
2025-02;Abholung;577;20514,10;2306,71;284,00;84;117
2025-02;Lieferplattform;701;24988,50;2811,21;638,00;99;117
2025-03;Restaurant;2290;85112,80;9575,19;1362,00;673;117
2025-03;Abholung;631;22640,40;2546,84;322,00;88;117
2025-03;Lieferplattform;782;28219,70;3174,72;756,00;114;117
2025-04;Restaurant;2187;80892,30;9102,87;1294,00;651;117
2025-04;Abholung;603;21636,80;2434,14;304,00;86;117
2025-04;Lieferplattform;759;27401,10;3082,62;712,00;107;117
2025-05;Restaurant;2318;86644,70;9747,53;1420,00;699;117
2025-05;Abholung;646;23291,50;2619,94;344,00;93;117
2025-05;Lieferplattform;811;29433,20;3311,51;802,00;119;117
2026-01;Restaurant;1894;70118,30;7888,31;1042,00;561;117
2026-01;Abholung;515;18642,10;2097,24;268,00;74;117
2026-01;Lieferplattform;682;24310,00;2734,99;624,00;101;117
2026-02;Restaurant;1748;64802,60;7290,29;998,00;534;117
2026-02;Abholung;476;17129,30;1927,05;246,00;69;117
2026-02;Lieferplattform;624;22416,40;2521,85;582,00;95;117
2026-03;Restaurant;1957;73041,90;8217,22;1116,00;592;117
2026-03;Abholung;529;19082,20;2146,75;276,00;77;117
2026-03;Lieferplattform;696;24989,40;2811,31;648,00;103;117
2026-04;Restaurant;1852;68760,20;7736,42;1086,00;568;117
2026-04;Abholung;497;17934,90;2017,68;258,00;72;117
2026-04;Lieferplattform;654;23440,00;2637,00;612,00;98;117
2026-05;Restaurant;2006;74690,40;8404,18;1548,00;619;117
2026-05;Abholung;541;19603,70;2205,42;326,00;81;117
2026-05;Lieferplattform;710;25890,20;2912,65;766,00;111;117
