Stichtag;Faellige_Verbindlichkeiten_EUR;Liquide_Mittel_EUR;Freie_Kreditlinie_EUR;Erwartete_Einzahlungen_3_Wochen_EUR;Verfuegbare_Mittel_gesamt_EUR;Unterdeckung_EUR;Unterdeckung_Prozent
31.03.2025;612000;74000;140000;389000;603000;9000;1.47
30.04.2025;648000;61000;121000;402000;584000;64000;9.88
31.05.2025;671000;52000;104000;411000;567000;104000;15.50
30.06.2025;703000;44000;92000;418000;554000;149000;21.19
31.07.2025;726000;39000;71000;409000;519000;207000;28.51
31.08.2025;758000;31000;54000;415000;500000;258000;34.04
30.09.2025;801000;26000;38000;421000;485000;316000;39.45
31.10.2025;854000;22000;19000;428000;469000;385000;45.08
30.11.2025;902000;19000;8000;464000;491000;411000;45.57
31.12.2025;967000;15000;0;436000;451000;516000;53.36
20.01.2026;1014000;11000;0;392000;403000;611000;60.26
