Monat;Umsatz_EUR;Rohertrag_EUR;Personal_EUR;Miete_EUR;Sonst_Kosten_EUR;Ergebnis_EUR;Faellige_Verbindlichkeiten_Ultimo_EUR
01.2025;892000;618000;371000;118000;164000;-35000;574000
02.2025;861000;596000;368000;118000;158000;-48000;590000
03.2025;904000;624000;372000;118000;161000;-27000;612000
04.2025;878000;607000;369000;118000;166000;-46000;648000
05.2025;885000;611000;374000;118000;163000;-44000;671000
06.2025;869000;600000;371000;118000;159000;-48000;703000
07.2025;842000;581000;376000;118000;162000;-75000;726000
08.2025;851000;587000;373000;118000;158000;-62000;758000
09.2025;838000;578000;375000;118000;161000;-76000;801000
10.2025;829000;572000;371000;118000;164000;-81000;854000
11.2025;876000;604000;377000;118000;166000;-57000;902000
12.2025;934000;644000;389000;118000;171000;-34000;967000
