Kategorie;Zeitraum;Anzahl_Zahlungen;Summe_EUR;Anmerkung
Loehne und Gehaelter (netto);22.09.2025-20.01.2026;4 Lohnlaeufe;387200.00;jeweils Monatsende
Sozialversicherungsbeitraege (AN- und AG-Anteile);22.09.2025-20.01.2026;4;96800.00;an vier Einzugsstellen
Umsatzsteuer-Vorauszahlungen;10.10.2025-12.01.2026;4;95200.00;Finanzamt Hannover-Mitte
Lohnsteuer;10.10.2025-12.01.2026;4;41300.00;Finanzamt Hannover-Mitte
Mieten elf Filialen;01.10.2025-05.01.2026;4 Monatslaeufe;448000.00;Okt-Dez je 118000.00 voll, Januar-Lauf nur Teilzahlung 94000.00
Wareneinkauf gegen Vorkasse/Lastschrift;22.09.2025-18.01.2026;63;74300.00;Zug um Zug, Weiterverkauf im Tagesgeschaeft
Energie und Versicherungen;22.09.2025-15.01.2026;11;35600.00;Abschlaege, Praemien
Beraterhonorar Ohlendorf Beteiligungs-UG;30.09.2025-30.12.2025;4;48000.00;monatlich 12000.00 gem. Beratervertrag vom 02.01.2023, fuenfte Rate rueckgebucht
Leasing Kuechentechnik;01.10.2025-05.01.2026;4;12000.00;
Summe geflossen;22.09.2025-20.01.2026;;1238400.00;Kategorisierung durch die Verwaltung, Einzelbelege in der Buchhaltung
