Woche;Anfang_EUR;Einzahlungen_EUR;Auszahlungen_EUR;Kredit_EUR;Ende_EUR;Annahme
2026-05-04;612400;988000;1215000;0;385400;NordRail offen
2026-05-11;385400;712000;1068000;0;29400;Kurzarbeit nicht beantragt
2026-05-18;29400;634000;912000;250000;1400;Banktranche teilweise
2026-05-25;1400;901000;1186000;0;-283600;ohne Kapitalzufluss
2026-06-01;-283600;2780000;1325000;0;1171400;NordRail Zahlung vollständig
2026-06-08;1171400;822000;1044000;0;949400;Normalbetrieb
2026-06-15;949400;785000;1299000;0;435400;Anzahlung Formanlage
2026-06-22;435400;866000;945000;0;356400;
2026-06-29;356400;914000;880000;0;390400;
2026-07-06;390400;801000;967000;0;224400;
2026-07-13;224400;854000;923000;0;155400;
2026-07-20;155400;889000;901000;0;143400;
