Probe_Nr;Datum;Wohneinheit;Lage;Entnahmestelle;Probenart;Blei_µg_l;Grenzwert_µg_l;Bemerkung
2026-0713-01;09.03.2026;WE 1;EG links;Küche Kaltwasser;S0 Zufallsstichprobe;14,2;10;Grenzwertüberschreitung
2026-0713-02;09.03.2026;WE 1;EG links;Küche Kaltwasser;S1 nach 4 h Stagnation;27,8;10;Grenzwertüberschreitung
2026-0713-03;09.03.2026;WE 2;EG rechts;Küche Kaltwasser;S0 Zufallsstichprobe;1,3;10;unauffällig
2026-0713-04;09.03.2026;WE 3;1. OG links;Bad Kaltwasser;S0 Zufallsstichprobe;19,6;10;Grenzwertüberschreitung
2026-0713-05;09.03.2026;WE 3;1. OG links;Bad Kaltwasser;S1 nach 4 h Stagnation;34,1;10;höchster Einzelwert, Steigleitung Keller mit Haarriss
2026-0713-06;09.03.2026;WE 4;1. OG rechts;Küche Kaltwasser;S0 Zufallsstichprobe;0,9;10;unauffällig
2026-0713-07;09.03.2026;WE 5;2. OG links;Küche Kaltwasser;S0 Zufallsstichprobe;12,4;10;Grenzwertüberschreitung
2026-0713-08;09.03.2026;WE 6;2. OG rechts;Küche Kaltwasser;S0 Zufallsstichprobe;1,7;10;unauffällig
2026-0713-09;09.03.2026;WE 7;3. OG links;Bad Kaltwasser;S0 Zufallsstichprobe;16,9;10;Grenzwertüberschreitung
2026-0713-10;09.03.2026;WE 8;3. OG rechts;Küche Kaltwasser;S0 Zufallsstichprobe;2,1;10;unauffällig
2026-0713-11;09.03.2026;Keller;Hausanschluss;Wasserzähler ausgangsseitig;S0 Zufallsstichprobe;0,4;10;Netzwasser unauffällig, Eintrag stammt aus Hausinstallation
