Datei,Typ,Relevanz
02-zeitstrahl-fristen-und-verfahrensstand.docx,DOCX,hoch
03-normenkette-livecheck.docx,DOCX,hoch
04-berufungskommission-auswahlvermerk.docx,DOCX,hoch
05-gremien-und-fristenmatrix.xlsx,XLSX,hoch
06-senatsvorlage-grundordnung.pdf,PDF,hoch
07-email-ministerium-nachfrage.eml,EML,hoch
08-chat-dekanat-legal.jpg,JPG,mittel
09-drittmittelvertrag-auszug.pdf,PDF,mittel
10-berufung-beteiligte.csv,CSV,mittel
11-rechtsvermerk-senat.docx,DOCX,mittel
12-offene-punkte.docx,DOCX,mittel
13-anlagenindex.csv,CSV,mittel
14-besprechungsunterlage.pdf,PDF,hoch
