Rechnung_Nr;Rechnungsdatum;Zahldatum;Lieferdatum;Basispreis_Netto_EUR;Krisenaufschlag_Prozent;Netto_EUR;Brutto_EUR;Tage_Zahlung_vor_Lieferung
VK-2026-0117;16.01.2026;19.01.2026;21.01.2026;18004.00;0;18004.00;21424.76;2
VK-2026-0142;23.01.2026;26.01.2026;28.01.2026;12600.00;0;12600.00;14994.00;2
VK-2026-0166;30.01.2026;02.02.2026;02.02.2026;9800.00;0;9800.00;11662.00;0
VK-2026-0181;04.02.2026;06.02.2026;11.02.2026;14350.00;0;14350.00;17076.50;5
VK-2026-0197;10.02.2026;12.02.2026;16.02.2026;11200.00;0;11200.00;13328.00;4
VK-2026-0214;16.02.2026;18.02.2026;20.02.2026;12850.00;4;13364.00;15903.16;2
VK-2026-0228;20.02.2026;24.02.2026;26.02.2026;16900.00;0;16900.00;20111.00;2
VK-2026-0233;26.02.2026;02.03.2026;04.03.2026;14100.00;4;14664.00;17450.16;2
VK-2026-0251;04.03.2026;06.03.2026;09.03.2026;8750.00;0;8750.00;10412.50;3
VK-2026-0269;09.03.2026;11.03.2026;13.03.2026;13400.00;0;13400.00;15946.00;2
VK-2026-0284;13.03.2026;17.03.2026;19.03.2026;10150.00;0;10150.00;12078.50;2
VK-2026-0301;20.03.2026;24.03.2026;27.03.2026;15600.00;0;15600.00;18564.00;3
VK-2026-0318;26.03.2026;30.03.2026;01.04.2026;9300.00;0;9300.00;11067.00;2
VK-2026-0334;02.04.2026;07.04.2026;09.04.2026;11750.00;0;11750.00;13982.50;2
