Stichtag;Eigenkapital_bilanziell_TEUR;Liquide_Mittel_TEUR;Freie_interne_Linie_TEUR;Verfuegbar_gesamt_TEUR;Faellige_externe_Verbindlichkeiten_TEUR;Unterdeckung_TEUR;Luecke_Prozent;Covenant_Status
31.01.2025;310;240;400;640;590;0;0.0;gruen
28.02.2025;145;205;370;575;621;46;7.4;gelb
07.03.2025;-85;165;320;485;641;156;24.3;rot
14.03.2025;-85;158;300;458;646;188;29.1;rot
21.03.2025;-85;150;300;450;650;200;30.8;rot
31.03.2025;-85;150;300;450;655;205;31.3;rot
30.04.2025;-160;135;250;385;688;303;44.0;rot
31.05.2025;-235;120;250;370;702;332;47.3;rot
30.06.2025;-290;110;200;310;734;424;57.8;rot
31.07.2025;-355;95;200;295;760;465;61.2;rot
31.08.2025;-410;90;150;240;782;542;69.3;rot
30.09.2025;-480;85;150;235;811;576;71.0;rot
31.10.2025;-540;70;100;170;845;675;79.9;rot
30.11.2025;-610;65;100;165;872;707;81.1;rot
31.12.2025;-675;55;50;105;906;801;88.4;rot
31.01.2026;-745;40;0;40;948;908;95.8;rot
