Kontoauszug;Vondering Metallform GmbH;Geschaeftskonto DE87 3106 0181 0002 2140 55;Gladbacher Bank fuer Handel und Gewerbe eG;Auszug 12/2025
Buchungstag;Wertstellung;Vorgang;Auftraggeber_Empfaenger;Verwendungszweck;Betrag_EUR;Saldo_EUR
01.12.2025;01.12.2025;Saldovortrag;;;0,00;14212,44
02.12.2025;02.12.2025;Lastschrift-Rueckgabe;Energie Rheinland Vertrieb GmbH;Rueckgabe Lastschrift Abschlag 11/2025 mangels Deckung Entgelt 3,90;-3,90;14208,54
04.12.2025;04.12.2025;Ueberweisung;Kessler Anlagenbau GmbH;Zahlungseingang RE 2025-0912 Teilbetrag;28400,00;42608,54
05.12.2025;05.12.2025;Sammelueberweisung;Lohn- und Gehaltslauf 11/2025;Loehne November 2025 Teilzahlung 60 Prozent;-38150,00;4458,54
09.12.2025;09.12.2025;Lastschrift-Rueckgabe;BKK Rheinland-Mitte;Rueckgabe Lastschrift GSV-Beitraege 11/2025 mangels Deckung Entgelt 3,90;-3,90;4454,64
11.12.2025;11.12.2025;Ueberweisung;Stahlhandel Ruhrort GmbH;Vorkasse Bestellung 2025-1188;-6200,00;-1745,36
19.12.2025;19.12.2025;Gutschrift;Notar Dr. Plueckthon Anderkonto;Auskehrung Resterloes Kaufvertrag UR 1834-2025 P nach Abloesung Niederrhein-Bank;60000,00;58254,64
22.12.2025;22.12.2025;Ueberweisung;Vondering Immobilien e.K.;Vermittlungsprovision Objekt Krefelder Str. 214 RG 2025-041;-60000,00;-1745,36
23.12.2025;23.12.2025;Ueberweisung;Kessler Anlagenbau GmbH;Zahlungseingang RE 2025-0958;19340,00;17594,64
29.12.2025;29.12.2025;Ueberweisung;Finanzamt Moenchengladbach;Umsatzsteuer 10/2025 Teilzahlung;-9500,00;8094,64
30.12.2025;30.12.2025;Sammelueberweisung;Lohn- und Gehaltslauf 11/2025;Loehne November 2025 Restzahlung;-25430,00;-17335,36
31.12.2025;31.12.2025;Entgeltabschluss;Gladbacher Bank;Kontofuehrung und geduldete Ueberziehung Q4/2025;-212,80;-17548,16
