Liquiditaetsstatus Vondering Metallform GmbH;rekonstruiert aus Finanzbuchhaltung und Bankauszuegen durch Insolvenzverwaltung;Stand 05.06.2026;alle Betraege in EUR
Stichtag;Liquide_Mittel;Faellige_Verbindlichkeiten;Unterdeckung;Unterdeckung_Prozent;Anmerkung
01.03.2025;232000;241000;9000;3,7;Zahlungsziel Kessler Anlagenbau verlaengert auf 60 Tage
01.04.2025;205000;226000;21000;9,3;erste Lastschriftrueckgabe Energieversorger
15.04.2025;171000;238000;67000;28,2;Zwischenstichtag; Ueberziehung der KK-Linie erstmals ueber 14 Tage
01.05.2025;158000;247000;89000;36,0;Lieferant Stahlhandel Ruhrort stellt auf 14-Tage-Ziel um
01.06.2025;149000;262000;113000;43,1;Lastschriftrueckgabe Niederrhein-Bank (siehe Schreiben 18.09.2025)
01.07.2025;131000;289000;158000;54,7;Gewerbesteuerrueckstand waechst auf
01.08.2025;124000;305000;181000;59,3;Loehne Juli in zwei Tranchen gezahlt
01.09.2025;112000;331000;219000;66,2;Mahnbescheid Werkzeugbau Erkelenz GmbH
01.10.2025;103000;349000;246000;70,5;Vollstreckungsankuendigung Stadtkasse 08.10.2025
01.11.2025;94000;368000;274000;74,5;Beurkundung Grundstuecksverkauf 12.11.2025
01.12.2025;88000;386000;298000;77,2;Resterloes 60000 am 19.12. zugeflossen und am 22.12. abgeflossen
01.01.2026;64000;395000;331000;83,8;Loehne Dezember teiloffen
01.02.2026;39000;402000;363000;90,3;Warenkreditversicherer hebt Deckung auf
01.03.2026;21000;412000;391000;94,9;Antragsvorbereitung
