Stichtag;Liquide_Mittel_EUR;Freie_Kontokorrentlinie_EUR;Verfuegbar_gesamt_EUR;Faellige_Verbindlichkeiten_EUR;Unterdeckung_EUR;Luecke_Prozent;Anmerkung
15.01.2025;28400;80000;108400;119600;11200;9.4;Saisonlinie Hausbank in Verhandlung
01.02.2025;18700;70000;88700;128400;39700;30.9;Saisonlinie abgelehnt 29.01.
08.02.2025;12300;65000;77300;131900;54600;41.4;
15.02.2025;15800;60000;75800;136200;60400;44.3;
22.02.2025;9400;60000;69400;139800;70400;50.4;Luecke seit 01.02. durchgehend ueber 10 Prozent
01.03.2025;11600;55000;66600;144100;77500;53.8;
01.05.2025;13900;50000;63900;152700;88800;58.2;Immobilienverkauf Gesellschafterin abgebrochen (Juni)
01.07.2025;9800;40000;49800;163400;113600;69.5;
01.09.2025;12400;30000;42400;178900;136500;76.3;Skontosperre mehrerer Lieferanten
01.11.2025;7600;20000;27600;196400;168800;85.9;Daemmtec-Rueckstand 118000 aufgelaufen
15.12.2025;5900;10000;15900;214800;198900;92.6;Lieferstopp Daemmtec seit 27.11.
15.01.2026;4100;0;4100;236500;232400;98.3;Linie gekuendigt 08.01.
06.02.2026;2700;0;2700;249200;246500;98.9;Antragsvorbereitung
