Monat;Umsatzerloese_EUR;Materialaufwand_EUR;Personalaufwand_EUR;Raumkosten_Leasing_EUR;Sonstige_Kosten_EUR;Abschreibungen_EUR;Betriebsergebnis_EUR
2025-01;412000;198000;146000;38000;31000;22000;-23000
2025-02;371000;184000;146000;38000;29000;22000;-48000
2025-03;355000;176000;144000;38000;28000;22000;-53000
2025-04;348000;171000;144000;38000;27000;22000;-54000
2025-05;362000;178000;144000;38000;27000;22000;-47000
2025-06;331000;164000;142000;38000;26000;22000;-61000
2025-07;318000;159000;142000;38000;26000;22000;-69000
2025-08;305000;152000;140000;38000;25000;22000;-72000
2025-09;322000;158000;140000;38000;25000;22000;-61000
2025-10;298000;149000;138000;38000;24000;22000;-73000
2025-11;287000;143000;138000;38000;24000;22000;-78000
2025-12;301000;150000;138000;38000;25000;22000;-72000
2026-01;264000;132000;136000;38000;23000;22000;-87000
2026-02;241000;121000;136000;38000;23000;22000;-99000
