Stichtag;Guthaben_Geschaeftskonto_EUR;Freie_Kontokorrentlinie_EUR;Verfuegbar_gesamt_EUR;Faellige_Verbindlichkeiten_EUR;Unterdeckung_EUR;Luecke_Prozent;Anmerkung
01.01.2025;21400;60000;81400;88000;6600;7.5;Linie Sparkasse 180000 zu 120000 valutiert
01.02.2025;9800;45000;54800;96500;41700;43.2;Papierlieferant Skonto gestrichen
08.02.2025;6200;40000;46200;99800;53600;53.7;
15.02.2025;11400;35000;46400;104200;57800;55.5;Linie um 10000 gekuerzt
22.02.2025;4900;35000;39900;108900;69000;63.4;
01.03.2025;7300;30000;37300;112400;75100;66.8;Luecke seit 01.02. durchgehend ueber 10 Prozent
01.04.2025;12100;30000;42100;118600;76500;64.5;
01.05.2025;8600;25000;33600;121300;87700;72.3;
01.06.2025;10200;25000;35200;127900;92700;72.5;
01.07.2025;6800;20000;26800;134500;107700;80.1;
01.08.2025;9100;20000;29100;141200;112100;79.4;
01.09.2025;5400;15000;20400;149800;129400;86.4;Ruecklastschrift Karow 05.09.
01.10.2025;7800;15000;22800;158300;135500;85.6;
01.11.2025;4200;10000;14200;171600;157400;91.7;Ratenbitte an Karow 10.11.
01.12.2025;6900;10000;16900;183400;166500;90.8;
01.01.2026;3600;5000;8600;196800;188200;95.6;Mahnbescheid zugestellt 18.12.
01.02.2026;5100;5000;10100;214700;204600;95.3;
01.03.2026;2800;0;2800;241900;239100;98.8;Linie gekuendigt 27.02.
05.03.2026;2350;0;2350;243700;241350;99.0;Eingang Abschlag Katalogkunde 21500 am 03.03. und Ueberweisung GV 20000 am 04.03.
11.03.2026;1450;0;1450;249300;247850;99.4;Antragsvortag
