Datum;Stunden;Taetigkeit;Ergebnis
07.07.2025;6.5;Aufnahme Finanzstatus, Sichtung BWA Jan-Jun;Statusnotiz an JW
09.07.2025;5.0;Aufbau 13-Wochen-Liquiditaetsmodell;Modell v1 (Excel)
14.07.2025;7.5;Szenarien Base/Stress, Abstimmung Steuerbuero Hellwig;Modell v2
17.07.2025;4.5;Fundraising-Deck Finanzteil;Deck-Kapitel 4 bis 6
22.07.2025;6.0;Investorenliste, Ansprache Kollibri Capital;Longlist 22 Namen
28.07.2025;6.0;Vorbereitung Kollibri-Erstgespraech;Q&A-Papier
31.07.2025;6.0;Monatsabschluss-Review Juli mit Buchhaltung;Abweichungsanalyse
05.08.2025;7.0;Kollibri-Gespraech (Teilnahme) und Nachbereitung;Gespraechsnotiz
08.08.2025;5.5;Datenraum Finanzen fuer Kollibri;Datenraum-Index
13.08.2025;6.5;Bankgespraech Sparkasse Neukoelln, Unterlagen;Terminprotokoll
19.08.2025;5.0;Bankgespraech GLS, Kontokorrent-Antrag;Antragsentwurf
25.08.2025;6.0;Update Liquiditaetsmodell nach Juli-Ist;Modell v3
28.08.2025;5.5;Vorbereitung Gesellschafter-Call 29.08.;Foliensatz
29.08.2025;3.0;Gesellschafter-Call und Protokollabstimmung;Ergebnisnotiz
31.08.2025;20.0;Puffer/Sammelposition Detailarbeiten Juli+August lt. Einzelliste Anhang;Einzelliste
