Beitragskonto-Auszug BKK Ostseekueste;Arbeitgeber Trave Clean Gebaeudeservice GmbH;Betriebsnummer 98771244;Mitgliedskonto 4471120;Ausdruck vom 08.06.2026 fuer die Insolvenzverwaltung;alle Betraege in EUR
Beitragsmonat;Beitragssoll;Faelligkeit;Zahlungseingang;Saeumniszuschlag;Bemerkung
Juni 2025;17550,00;26.06.2025;26.06.2025;0,00;puenktlich
Juli 2025;17550,00;29.07.2025;29.07.2025;0,00;puenktlich
August 2025;17550,00;27.08.2025;05.09.2025;175,50;verspaetet gezahlt inkl. SZ
September 2025;17550,00;26.09.2025;09.10.2025;175,50;verspaetet gezahlt inkl. SZ
Oktober 2025;17700,00;28.10.2025;21.11.2025;177,00;verspaetet gezahlt inkl. SZ
November 2025;17700,00;26.11.2025;26.02.2026;531,00;SZ fuer 3 angefangene Monate; Mahnung 15.12.2025
Dezember 2025;17700,00;29.12.2025;26.02.2026;354,00;SZ fuer 2 angefangene Monate
Januar 2026;17850,00;28.01.2026;26.02.2026;178,50;SZ fuer 1 angefangenen Monat; Vollstreckungsankuendigung 28.01.2026
Februar 2026;17850,00;25.02.2026;offen;;zur Tabelle angemeldet
Kosten;6,50;;26.02.2026;;Mahngebuehr aus Mahnung vom 15.12.2025
Zahlungseingang 26.02.2026 gesamt;54320,00;;;;Beitraege 11/2025 bis 01/2026 (53250,00) plus Saeumniszuschlaege (1063,50) plus Mahngebuehr (6,50)
