Kontoauszug Trave Clean Gebaeudeservice GmbH;Geschaeftskonto DE62 2306 0000 0071 4482 19;Hansestaedtische Genossenschaftsbank eG Luebeck;Auszug 02/2026;gesichert durch die Insolvenzverwaltung
Buchungstag;Vorgang;Auftraggeber_Empfaenger;Verwendungszweck;Betrag_EUR;Saldo_EUR
02.02.2026;Saldovortrag;;;0,00;3412,77
04.02.2026;Gutschrift;Klinikum Luebeck Service GmbH;Unterhaltsreinigung Januar 2026 RE 2026-011;24800,00;28212,77
05.02.2026;Lastschrift-Rueckgabe;Fuhrpark-Leasing Nord GmbH;Rueckgabe Leasingrate 02/2026 mangels Deckung Entgelt 3,90;-3,90;28208,87
09.02.2026;Ueberweisung;Reinigungsbedarf Hanse KG;Vorkasse Bestellung Verbrauchsmaterial;-4180,00;24028,87
12.02.2026;Sammelueberweisung;Lohnlauf 01/2026;Loehne Januar 2026 Teilzahlung 70 Prozent;-31240,00;-7211,13
17.02.2026;Gutschrift;Wohnbau Travemuende eG;Treppenhausreinigung Q1 Abschlag;9600,00;2388,87
20.02.2026;Gutschrift;Kaufhauspassage Verwaltungs GmbH;Glasreinigung und Wartung RE 2026-019;61000,00;63388,87
24.02.2026;Ueberweisung;Stadtwerke-Forderungsmanagement;Abschlag Strom Betriebshof 01-02/2026;-3860,00;59528,87
26.02.2026;Ueberweisung;BKK Ostseekueste;Beitragsrueckstand 11/2025-01/2026 inkl SZ u Kosten BNR 98771244;-54320,00;5208,87
27.02.2026;Lastschrift-Rueckgabe;Grundstuecksverwaltung Fackenburger Allee GmbH;Rueckgabe Miete Betriebshof 03/2026 mangels Deckung Entgelt 3,90;-3,90;5204,97
27.02.2026;Ueberweisung;Lohnlauf 01/2026;Loehne Januar 2026 Restzahlung Teil 1;-4950,00;254,97
Anmerkung der Insolvenzverwaltung;Die Restloehne Januar 2026 (30 Prozent abzueglich Teilzahlung vom 27.02.2026) und die Loehne Februar 2026 blieben offen;;;;
Anmerkung der Insolvenzverwaltung;Die Zahlung vom 26.02.2026 an die BKK Ostseekueste erfolgte 17 Tage nach Eingang des Fremdantrags vom 09.02.2026;;;;
