Anlage zum Kurzgutachten der Dr. Rehberg & Cie. Restrukturierung GmbH vom 12.05.2025;Liquiditaetsstatus und Drei-Wochen-Betrachtung Trave Clean Gebaeudeservice GmbH;alle Betraege in EUR
Position;Stichtag_31-03-2025;Zugang_bis_22-04-2025;Summe_22-04-2025
Guthaben Geschaeftskonten;11900;;
Freie Kontokorrentlinie (eingeraeumt 50000; ausgenutzt 40000);10000;;
Einziehbare faellige Debitoren (nicht abgetreten);20400;;
Erwartete Zufluesse Objektabrechnungen Maerz und Abschlaege April;;88400;
Verfuegbare Mittel gesamt;42300;88400;130700
Lieferantenverbindlichkeiten ueberfaellig;18300;;
Leasingraten Fuhrpark Februar und Maerz;9400;;
Mietrueckstand Betriebshof Maerz;5550;;
Lohnsteuer und Umsatzsteuer Februar;14750;;
Restloehne Februar;8200;;
Sonstige faellige Posten;5600;;
Neu faellig werdend bis 22-04-2025 (Loehne Maerz; GSV-Beitraege; Leasing; Miete April; Steuern);;91200;
Faellige Verbindlichkeiten gesamt;61800;91200;153000
Unterdeckung absolut;19500;;22300
Unterdeckung in Prozent der faelligen Verbindlichkeiten;31,6;;14,6
Ergebnis;Zahlungsunfaehigkeit im Sinne des Paragraf 17 Abs. 2 Satz 1 InsO zum 31.03.2025 eingetreten;Luecke nach drei Wochen weiterhin ueber 10 Prozent;Fortbestehensprognose negativ
