BWA-Reihe Teutoburger Moebelwerk GmbH 2025;Kurzfassung aus der Finanzbuchhaltung (DATEV-Export);Anlage 2 zum Schreiben der Insolvenzverwalterin vom 11.05.2026;alle Betraege in EUR
Monat;Umsatzerloese;Rohertrag;Personalaufwand;Betriebsergebnis;Liquide_Mittel_Ultimo;Faellige_Verbindlichkeiten_Ultimo;Unterdeckung_EUR;Unterdeckung_Prozent
Januar 2025;412000;198000;186000;-21000;118000;129000;11000;8,5
Februar 2025;391000;186000;184000;-29000;104000;136000;32000;23,5
Maerz 2025;405000;194000;185000;-24000;97000;149000;52000;34,9
April 2025;376000;179000;183000;-31000;92000;161000;69000;42,9
Mai 2025;368000;174000;182000;-34000;88000;178000;90000;50,6
Juni 2025;359000;169000;182000;-38000;81000;196000;115000;58,7
Juli 2025;301000;139000;181000;-58000;76000;213000;137000;64,3
August 2025;312000;146000;179000;-49000;71000;234000;163000;69,7
September 2025;298000;138000;178000;-52000;64000;259000;195000;75,3
Oktober 2025;322000;151000;176000;-43000;58000;280000;222000;79,3
November 2025;344000;163000;175000;-32000;49000;301000;252000;83,7
Dezember 2025;286000;131000;175000;-57000;37000;326000;289000;88,7
Hinweis;Forderungsausfall Wohnkontor Lippstadt GmbH im Juli 2025 mit 190000 EUR im Betriebsergebnis Juli enthalten;;;;;;;
