OPOS-Liste Kreditoren Teutoburger Moebelwerk GmbH;Stand 30.11.2025;Anlage 3 zum Schreiben der Insolvenzverwalterin vom 11.05.2026;alle Betraege in EUR
Kreditor;Rechnung_Bescheid;Rechnungsdatum;Faelligkeit;Offener_Betrag;Status_am_30-11-2025
Holzwerkstoffe Detmold GmbH;RE 24-3318;12.11.2024;12.12.2024;18400,00;faellig; dritte Mahnung 15.04.2025
Furnierwerk Paderborn KG;RE 2025-0117;20.01.2025;19.02.2025;22150,00;faellig; Klage angedroht 10.09.2025
Werkzeugstahl Hagen GmbH;RE 2025-0812;10.06.2025;10.07.2025;11900,00;faellig; Vollstreckungsbescheid 04.11.2025; GV-Auftrag
Lackierwerk Senne GmbH;RE 2025-1044;15.07.2025;15.08.2025;14600,00;faellig; Lieferungen eingestellt seit 01.10.2025
Finanzamt Bielefeld-Innenstadt;USt-Voranmeldungen 07-10/2025;laufend;aelteste Faelligkeit 11.08.2025;41300,00;faellig; Stundungsantrag 14.11.2025 unbeschieden
WestLease GmbH;Leasingraten 09-11/2025;laufend;aelteste Faelligkeit 01.09.2025;19500,00;faellig; Kuendigung angedroht 21.11.2025
Einzugsstelle BKK Westfalen-Mitte;GSV-Beitraege 09-11/2025;laufend;aelteste Faelligkeit 26.09.2025;36900,00;faellig; Mahnung 12.11.2025
HebeFix Beschlagtechnik GmbH;RE-2025-4411;28.08.2025;27.09.2025;28700,00;faellig; Mahnstufe 3; bezahlt 01.12.2025
Spedition Brinkhege GmbH;RE 2025-2210;30.08.2025;30.09.2025;9800,00;faellig; nur noch Barzahlung bei Abholung
Grundstuecksgesellschaft Eckendorfer Strasse GbR;Miete Lagerhalle Ost 10-11/2025;laufend;aelteste Faelligkeit 05.10.2025;22200,00;faellig; Kuendigungsandrohung 18.11.2025
Energieversorgung Ostwestfalen AG;Abschlaege 09-10/2025;laufend;aelteste Faelligkeit 15.10.2025;12750,00;faellig; Sperrandrohung 25.11.2025
HebeFix Beschlagtechnik GmbH;RE-2025-4736;30.09.2025;30.10.2025;31200,00;faellig; Ratenplan angefragt
TempoWerk Personal GmbH;RE 2025-1911;05.11.2025;20.11.2025;23400,00;faellig; Personalabzug angedroht
Kartonagen Lippe KG;RE 2025-0977;10.11.2025;25.11.2025;8200,00;faellig
HebeFix Beschlagtechnik GmbH;RE-2025-5102;05.11.2025;05.12.2025;27500,00;noch nicht faellig am Stichtag
Summe faellig am 30.11.2025;;;;301000,00;
Summe gesamt einschliesslich nicht faelliger Posten;;;;328500,00;
