Monat;Linie_Ultimo_EUR;Saldo_Ultimo_EUR;Inanspruchnahme_Ultimo_Prozent;Tage_Inanspruchnahme_ueber_95_Prozent;Ruecklastschriften_Anzahl;Scheckrueckgaben_Anzahl;Pfaendungseingaenge_Anzahl
01/2025;480000.00;-374400.00;78.0;0;0;0;0
02/2025;480000.00;-403200.00;84.0;0;0;0;0
03/2025;480000.00;-436800.00;91.0;4;0;0;0
04/2025;480000.00;-465600.00;97.0;19;2;0;0
05/2025;480000.00;-470900.00;98.1;21;1;0;0
06/2025;480000.00;-473800.00;98.7;20;2;1;0
07/2025;480000.00;-468200.00;97.5;22;1;0;0
08/2025;480000.00;-474300.00;98.8;21;2;0;0
09/2025;480000.00;-476900.00;99.4;22;2;0;1
10/2025;480000.00;-471500.00;98.2;21;2;1;0
11/2025;480000.00;-471800.00;98.3;20;1;0;1
12/2025;360000.00;-350000.00;97.2;18;1;0;0
01/2026;240000.00;-277600.00;115.7;19;2;0;1
02/2026;120000.00;-120400.00;100.3;18;1;0;0
