Datum;Vorgang;Beteiligter;Betrag_EUR;Bemerkung
08.04.2025;Ruecklastschrift;Winzergenossenschaft Goldbachtal eG;14200.00;mangels Deckung zurueckgegeben
24.04.2025;Ruecklastschrift;Glashandel Rheinglas Bodenheim GmbH;8650.50;mangels Deckung zurueckgegeben
13.05.2025;Ruecklastschrift;Etikettendruck Momberger KG;3480.00;mangels Deckung zurueckgegeben
05.06.2025;Ruecklastschrift;Energieversorgung Mainz-Sued GmbH;6120.00;mangels Deckung zurueckgegeben
17.06.2025;Scheckrueckgabe;Korkenhandel Silz e.K. (Aussteller Domblick);4975.00;Scheck mangels Deckung nicht eingeloest
26.06.2025;Ruecklastschrift;Handelskrankenkasse Mitte (Gesamtsozialversicherungsbeitrag);11340.00;mangels Deckung zurueckgegeben
15.07.2025;Ruecklastschrift;Berufsgenossenschaft Getraenke und Kellereien;5890.00;mangels Deckung zurueckgegeben
07.08.2025;Ruecklastschrift;Winzergenossenschaft Goldbachtal eG;15600.00;mangels Deckung zurueckgegeben
21.08.2025;Ruecklastschrift;Glashandel Rheinglas Bodenheim GmbH;9240.00;mangels Deckung zurueckgegeben
04.09.2025;Ruecklastschrift;Handelskrankenkasse Mitte (Gesamtsozialversicherungsbeitrag);11340.00;mangels Deckung zurueckgegeben
11.09.2025;Pfaendungseingang;Finanzamt Mainz-Altstadt (Pfaendungs- und Einziehungsverfuegung);22400.00;Kontopfaendung wegen USt-Rueckstand
25.09.2025;Ruecklastschrift;Etikettendruck Momberger KG;3480.00;mangels Deckung zurueckgegeben
02.10.2025;Ruecklastschrift;Energieversorgung Mainz-Sued GmbH;6340.00;mangels Deckung zurueckgegeben
16.10.2025;Scheckrueckgabe;Korkenhandel Silz e.K. (Aussteller Domblick);5210.00;Scheck mangels Deckung nicht eingeloest
28.10.2025;Ruecklastschrift;Vinotech Leasing GmbH (Leasingrate Pressanlage);7850.00;mangels Deckung zurueckgegeben
06.11.2025;Pfaendungseingang;Handelskrankenkasse Mitte als Einzugsstelle;18760.00;Kontopfaendung wegen SV-Rueckstand
20.11.2025;Ruecklastschrift;Winzergenossenschaft Goldbachtal eG;16750.00;mangels Deckung zurueckgegeben
04.12.2025;Ruecklastschrift;Glashandel Rheinglas Bodenheim GmbH;9240.00;mangels Deckung zurueckgegeben
08.01.2026;Ruecklastschrift;Energieversorgung Mainz-Sued GmbH;6510.00;mangels Deckung zurueckgegeben
22.01.2026;Ruecklastschrift;Etikettendruck Momberger KG;3480.00;mangels Deckung zurueckgegeben
26.01.2026;Pfaendungseingang;Glashandel Rheinglas Bodenheim GmbH (PfUeB AG Mainz 34 M 4457/25);48730.12;Zustellung an Sparkasse als Drittschuldnerin
05.02.2026;Ruecklastschrift;Handelskrankenkasse Mitte (Gesamtsozialversicherungsbeitrag);11340.00;mangels Deckung zurueckgegeben
