Monat;Umsatzerloese_EUR;Betriebsergebnis_EUR;Faellige_Verbindlichkeiten_Ultimo_EUR;Verfuegbare_Mittel_Ultimo_EUR;Unterdeckung_EUR;Unterdeckung_Prozent
01/2025;212400.00;4100.00;310000.00;298000.00;12000.00;3.9
02/2025;198700.00;-2300.00;335000.00;312000.00;23000.00;6.9
03/2025;221500.00;-5800.00;362000.00;331000.00;31000.00;8.6
04/2025;189300.00;-12400.00;401000.00;342000.00;59000.00;14.7
05/2025;205800.00;-9800.00;428000.00;351000.00;77000.00;18.0
06/2025;196400.00;-14100.00;452000.00;355000.00;97000.00;21.5
07/2025;183900.00;-16800.00;470000.00;349000.00;121000.00;25.7
08/2025;176200.00;-18200.00;488000.00;340000.00;148000.00;30.3
09/2025;231600.00;-8900.00;505000.00;338000.00;167000.00;33.1
10/2025;243800.00;-7400.00;522000.00;330000.00;192000.00;36.8
11/2025;258900.00;-11600.00;548000.00;322000.00;226000.00;41.2
12/2025;274100.00;-15300.00;570000.00;305000.00;265000.00;46.5
