Datum;Zahlungseingaenge_EUR;Zahlungsausgaenge_EUR;Tagesendsaldo_EUR
14.01.2026;;;-298750.00
15.01.2026;5013.35;5721.20;-299457.85
16.01.2026;5367.53;6275.07;-300365.39
19.01.2026;5397.45;6267.27;-301235.21
20.01.2026;8077.49;8739.13;-301896.85
21.01.2026;4045.39;4979.00;-302830.46
22.01.2026;7277.65;7952.79;-303505.60
23.01.2026;5670.83;6277.25;-304112.02
26.01.2026;4661.07;5548.54;-304999.49
27.01.2026;16423.62;17083.85;-305659.72
28.01.2026;6138.05;6881.37;-306403.04
29.01.2026;5150.24;5718.97;-306971.77
30.01.2026;5007.53;5572.10;-307536.34
02.02.2026;4528.24;5078.18;-308086.28
03.02.2026;4607.32;5239.92;-308718.88
04.02.2026;5171.64;5646.39;-309193.63
05.02.2026;5862.60;6568.97;-309900.00
06.02.2026;6723.98;4411.03;-307587.05
09.02.2026;6385.80;3915.80;-305117.05
10.02.2026;5393.47;2731.81;-302455.39
11.02.2026;8253.70;6356.50;-300558.19
12.02.2026;8773.73;6991.60;-298776.06
13.02.2026;5411.96;3362.38;-296726.48
16.02.2026;5636.04;4261.71;-295352.15
17.02.2026;6247.56;3550.03;-292654.62
18.02.2026;7547.96;5802.73;-290909.39
19.02.2026;8111.79;5913.54;-288711.14
20.02.2026;7976.14;5435.53;-286170.53
23.02.2026;7136.52;4448.01;-283482.02
24.02.2026;5422.34;3102.13;-281161.81
25.02.2026;5823.27;3839.85;-279178.39
26.02.2026;7193.10;5248.21;-277233.50
27.02.2026;6214.11;4010.50;-275029.89
02.03.2026;6826.17;4392.25;-272595.97
03.03.2026;7041.07;5215.91;-270770.81
04.03.2026;7077.78;4949.03;-268642.06
05.03.2026;8593.91;5764.86;-265813.01
06.03.2026;9115.63;6730.51;-263427.89
09.03.2026;8006.84;7495.34;-262916.39
10.03.2026;6458.05;4370.66;-260829.00
11.03.2026;9008.70;7051.17;-258871.47
12.03.2026;7648.27;5036.50;-256259.70
13.03.2026;4666.67;1871.98;-253465.01
16.03.2026;8470.50;6301.29;-251295.80
17.03.2026;7114.40;5023.23;-249204.63
18.03.2026;5533.11;3491.63;-247163.15
19.03.2026;5842.34;4103.79;-245424.60
20.03.2026;7857.87;6114.31;-243681.04
23.03.2026;5301.84;3613.05;-241992.25
24.03.2026;5373.94;2555.62;-239173.93
25.03.2026;4784.97;3033.92;-237422.88
26.03.2026;4941.60;3533.03;-236014.31
27.03.2026;7501.53;5515.07;-234027.85
30.03.2026;4563.18;2484.56;-231949.23
31.03.2026;6508.42;4823.64;-230264.45
01.04.2026;8992.41;7384.36;-228656.40
02.04.2026;4800.67;2204.96;-226060.69
07.04.2026;8991.21;6609.92;-223679.40
08.04.2026;6327.45;4128.05;-221480.00
09.04.2026;6392.50;7036.59;-222124.09
10.04.2026;6067.19;6985.16;-223042.06
13.04.2026;4970.13;6245.41;-224317.34
14.04.2026;6598.00;7619.01;-225338.35
15.04.2026;3972.18;4933.83;-226300.00
