Stichtag;Faellige_Verbindlichkeiten_ohne_Bank_EUR;Liquide_Mittel_EUR;Freie_Kontokorrentlinie_EUR;Erwartete_Einzahlungen_3_Wochen_EUR;Verfuegbare_Mittel_gesamt_EUR;Unterdeckung_EUR;Unterdeckung_Prozent
31.01.2025;823000;41000;96000;621000;758000;65000;7.90
28.02.2025;861000;37000;74000;672000;783000;78000;9.06
31.03.2025;897000;33000;52000;731000;816000;81000;9.03
30.04.2025;942000;28000;31000;771000;830000;112000;11.89
31.05.2025;986000;24000;18000;794000;836000;150000;15.21
30.06.2025;1024000;27000;9000;806000;842000;182000;17.77
31.07.2025;1061000;22000;4000;811000;837000;224000;21.11
31.08.2025;1102000;19000;0;815000;834000;268000;24.32
30.09.2025;1146000;21000;0;803000;824000;322000;28.10
31.10.2025;1189000;17000;0;786000;803000;386000;32.46
30.11.2025;1232000;15000;0;761000;776000;456000;37.01
31.12.2025;1278000;12000;0;729000;741000;537000;42.02
31.01.2026;1321000;14000;0;694000;708000;613000;46.40
28.02.2026;1367000;11000;0;652000;663000;704000;51.50
31.03.2026;1410000;9000;0;598000;607000;803000;56.95
