Monat;Umsatzerloese_EUR;Materialaufwand_EUR;Personalaufwand_EUR;Sonstige_Kosten_inkl_Fremdleistungen_EUR;Abschreibungen_EUR;Zinsaufwand_EUR;Betriebsergebnis_EUR
2024-01;182400;96700;31200;31900;6100;2300;14200
2024-02;175900;94300;31200;32400;6100;2400;9500
2024-03;168200;92800;31900;33100;6100;2600;1700
2024-04;171300;95600;31900;33800;6100;2700;1200
2024-05;159800;89400;32600;34200;6100;2900;-5400
2024-06;164500;93100;32600;34500;6100;3100;-4900
2024-07;152700;87900;33300;34900;6100;3300;-12800
2024-08;149200;85200;33300;35100;6100;3500;-14000
2024-09;158600;90400;33300;35400;5800;3600;-9900
2024-10;151400;88700;34000;35700;5800;3800;-16600
2024-11;144800;84100;34000;36100;5800;4000;-19200
2024-12;132600;79800;34000;36300;5800;4100;-27400
2025-01;128300;76900;34700;36600;5800;4300;-30000
2025-02;124100;74200;34700;36800;5800;4500;-31900
2025-03;119600;72400;35300;37100;5800;4800;-35800
2025-04;126800;77100;35300;37300;5800;5000;-33700
2025-05;121500;74600;35300;37600;5800;5200;-37000
2025-06;117900;71800;36100;37900;5500;5500;-38900
2025-07;112400;69300;36100;38200;5500;5700;-42400
2025-08;108900;66700;36100;38400;5500;5900;-43700
2025-09;114200;70800;36100;38700;5500;6200;-43100
2025-10;106700;65900;36800;38900;5500;6400;-46800
2025-11;98400;61200;36800;39200;5500;6700;-51000
2025-12;89300;56400;36800;39400;5500;6900;-55700
2026-01;84600;53800;37500;39700;5200;7200;-58800
2026-02;78200;50100;37500;39900;5200;7400;-61900
