Stichtag;Faellige_Verbindlichkeiten_EUR;davon_aelter_90_Tage_EUR;Liquide_Mittel_EUR;Freie_Kreditlinie_EUR;Erwartete_Einzahlungen_3_Wochen_EUR;Verfuegbare_Mittel_gesamt_EUR;Unterdeckung_EUR;Unterdeckung_Prozent
31.01.2025;296400;41200;22300;60000;189600;271900;24500;8.27
28.02.2025;331200;55800;18700;45000;238100;301800;29400;8.88
31.03.2025;384600;92400;12400;30000;279700;322100;62500;16.25
30.04.2025;402900;118700;9800;20000;301600;331400;71500;17.75
31.05.2025;419300;141300;14200;20000;296900;331100;88200;21.04
30.06.2025;447800;176900;8900;10000;312400;331300;116500;26.02
31.07.2025;462100;203400;11300;10000;305800;327100;135000;29.21
31.08.2025;481600;241800;7600;10000;289200;306800;174800;36.30
30.09.2025;498400;279500;9100;5000;276400;290500;207900;41.71
31.10.2025;517200;312600;6800;5000;261900;273700;243500;47.08
30.11.2025;538900;348100;8200;0;247300;255500;283400;52.59
31.12.2025;561700;384200;5400;0;230800;236200;325500;57.95
31.01.2026;587400;421700;4100;0;209600;213700;373700;63.62
28.02.2026;611300;455900;3900;0;210900;214800;396500;64.86
