Stichtag;Faellige_Verbindlichkeiten_EUR;Liquide_Mittel_EUR;Freie_Kreditlinie_EUR;Erwartete_Einzahlungen_3_Wochen_EUR;Verfuegbare_Mittel_gesamt_EUR;Unterdeckung_EUR;Unterdeckung_Prozent
31.01.2025;1842000;96000;400000;1214000;1710000;132000;7.17
28.02.2025;1915000;84000;350000;1308000;1742000;173000;9.03
31.03.2025;2004000;71000;300000;1451000;1822000;182000;9.08
30.04.2025;2131000;65000;250000;1577000;1892000;239000;11.22
31.05.2025;2246000;59000;200000;1566000;1825000;421000;18.74
30.06.2025;2378000;48000;150000;1604000;1802000;576000;24.22
31.07.2025;2463000;52000;100000;1588000;1740000;723000;29.35
31.08.2025;2551000;44000;100000;1542000;1686000;865000;33.91
30.09.2025;2687000;39000;50000;1506000;1595000;1092000;40.64
31.10.2025;2802000;35000;0;1461000;1496000;1306000;46.61
30.11.2025;2918000;41000;0;1383000;1424000;1494000;51.20
31.12.2025;3004000;28000;0;1296000;1324000;1680000;55.93
31.01.2026;3127000;24000;0;1105000;1129000;1998000;63.89
28.02.2026;3215000;22000;0;918000;940000;2275000;70.76
