Rate_Nr;Faelligkeit;Zahlungseingang;Betrag_EUR;Zahlungsweg;Bemerkung
1;15.11.2022;17.11.2022;13000.00;Lastschrift;
2;15.12.2022;19.12.2022;13000.00;Lastschrift;
3;15.01.2023;16.01.2023;13000.00;Lastschrift;
4;15.02.2023;20.02.2023;13000.00;Lastschrift;
5;15.03.2023;15.03.2023;13000.00;Lastschrift;
6;15.04.2023;21.04.2023;13000.00;Lastschrift;
7;15.05.2023;09.06.2023;13000.00;Ueberweisung;"Lastschrift 15.05.2023 mangels Deckung zurueckgegeben; Zahlung per Ueberweisung nach Vollstreckungsankuendigung vom 25.05.2023"
8;15.06.2023;19.06.2023;13000.00;Lastschrift;
9;15.07.2023;17.07.2023;13000.00;Lastschrift;
10;15.08.2023;21.08.2023;13000.00;Lastschrift;
11;15.09.2023;18.09.2023;13000.00;Lastschrift;
12;15.10.2023;16.10.2023;13000.00;Lastschrift;
13;15.11.2023;20.11.2023;13000.00;Lastschrift;
14;15.12.2023;18.12.2023;13000.00;Lastschrift;
15;15.01.2024;22.01.2024;13000.00;Lastschrift;
16;15.02.2024;19.02.2024;13000.00;Lastschrift;
17;15.03.2024;18.03.2024;13000.00;Lastschrift;
18;15.04.2024;22.04.2024;13000.00;Lastschrift;
19;15.05.2024;21.05.2024;13000.00;Lastschrift;
20;15.06.2024;24.06.2024;13000.00;Lastschrift;
21;15.07.2024;22.07.2024;13000.00;Lastschrift;
22;15.08.2024;05.09.2024;13000.00;Ueberweisung;"Lastschrift 19.08.2024 mangels Deckung zurueckgegeben; Zahlung nach fruchtlosem Vollstreckungsversuch vom 28.08.2024"
23;15.09.2024;23.09.2024;13000.00;Ueberweisung;
24;15.10.2024;21.10.2024;13000.00;Ueberweisung;
25;15.11.2024;18.11.2024;13000.00;Ueberweisung;
26;15.12.2024;19.12.2024;13000.00;Ueberweisung;
27;15.01.2025;20.01.2025;13000.00;Ueberweisung;
28;15.02.2025;17.02.2025;13000.00;Ueberweisung;
29;15.03.2025;19.03.2025;13000.00;Ueberweisung;
30;15.04.2025;17.04.2025;11000.00;Ueberweisung;Schlussrate
