Quartal;Umsatzerloese_EUR;Betriebsergebnis_EUR;Faellige_Verbindlichkeiten_Ultimo_EUR;Verfuegbare_Mittel_Ultimo_EUR;Unterdeckung_EUR;Unterdeckung_Prozent
Q1/2022;1842000.00;21400.00;612000.00;587000.00;25000.00;4.1
Q2/2022;1795000.00;-14800.00;668000.00;613000.00;55000.00;8.2
Q3/2022;1731000.00;-38200.00;742000.00;634000.00;108000.00;14.6
Q4/2022;1804000.00;-29500.00;771000.00;645000.00;126000.00;16.3
Q1/2023;1688000.00;-41300.00;795000.00;649000.00;146000.00;18.4
Q2/2023;1752000.00;-22100.00;778000.00;660000.00;118000.00;15.2
Q3/2023;1811000.00;-18400.00;764000.00;664000.00;100000.00;13.1
Q4/2023;1874000.00;-12900.00;749000.00;665000.00;84000.00;11.2
Q1/2024;1702000.00;-35600.00;792000.00;659000.00;133000.00;16.8
Q2/2024;1668000.00;-44100.00;815000.00;657000.00;158000.00;19.4
Q3/2024;1631000.00;-52300.00;841000.00;657000.00;184000.00;21.9
Q4/2024;1687000.00;-48700.00;866000.00;655000.00;211000.00;24.4
Q1/2025;1594000.00;-61200.00;894000.00;657000.00;237000.00;26.5
Q2/2025;1552000.00;-66800.00;921000.00;656000.00;265000.00;28.8
Q3/2025;1518000.00;-73400.00;949000.00;653000.00;296000.00;31.2
Q4/2025;1471000.00;-81900.00;981000.00;644000.00;337000.00;34.4
