Woche;Wochenbeginn;Einzahlungen_EUR;Faellige_Auszahlungen_EUR;Geleistete_Auszahlungen_EUR;Endbestand_Konto_EUR;Verfuegbar_inkl_freier_Linie_EUR;Zahlungsrueckstand_kumuliert_EUR;Unterdeckung_Prozent
KW 38/2022;19.09.2022;168000.00;214000.00;171000.00;38200.00;63200.00;43000.00;20.1
KW 39/2022;26.09.2022;172000.00;209000.00;168000.00;42200.00;67200.00;84000.00;19.9
KW 40/2022;03.10.2022;165000.00;198000.00;162000.00;45200.00;70200.00;120000.00;19.3
KW 41/2022;10.10.2022;181000.00;217000.00;179000.00;47200.00;72200.00;158000.00;18.9
KW 42/2022;17.10.2022;159000.00;202000.00;158000.00;48200.00;73200.00;202000.00;19.4
KW 43/2022;24.10.2022;176000.00;211000.00;174000.00;50200.00;75200.00;239000.00;19.1
KW 44/2022;31.10.2022;170000.00;196000.00;168000.00;52200.00;77200.00;267000.00;18.5
KW 45/2022;07.11.2022;163000.00;208000.00;165000.00;50200.00;75200.00;310000.00;18.7
KW 46/2022;14.11.2022;184000.00;221000.00;182000.00;52200.00;77200.00;349000.00;18.6
KW 47/2022;21.11.2022;161000.00;199000.00;160000.00;53200.00;78200.00;388000.00;18.7
KW 48/2022;28.11.2022;174000.00;213000.00;172000.00;55200.00;80200.00;429000.00;18.8
KW 49/2022;05.12.2022;169000.00;205000.00;167000.00;57200.00;82200.00;467000.00;18.7
KW 50/2022;12.12.2022;178000.00;224000.00;176000.00;59200.00;84200.00;515000.00;19.0
