Antrags_ID;Eingangsdatum;Abschlussdatum;Ergebnis;Sachgebiet
AST-2026-0001;12.01.2026;26.02.2026;Teilbewilligung;SG 50-2-3
AST-2026-0002;12.01.2026;26.01.2026;Teilbewilligung;SG 50-2-3
AST-2026-0003;12.01.2026;04.02.2026;Bewilligung;SG 50-2-2
AST-2026-0004;14.01.2026;25.01.2026;Bewilligung;SG 50-2-3
AST-2026-0005;15.01.2026;02.02.2026;Bewilligung;SG 50-2-3
AST-2026-0006;16.01.2026;03.02.2026;Bewilligung;SG 50-2-2
AST-2026-0007;16.01.2026;25.03.2026;Bewilligung;SG 50-2-2
AST-2026-0008;18.01.2026;09.03.2026;Ablehnung;SG 50-2-2
AST-2026-0009;20.01.2026;05.02.2026;Teilbewilligung;SG 50-2-1
AST-2026-0010;27.01.2026;16.02.2026;Bewilligung;SG 50-2-3
AST-2026-0011;28.01.2026;05.02.2026;Bewilligung;SG 50-2-3
AST-2026-0012;31.01.2026;13.02.2026;Bewilligung;SG 50-2-3
AST-2026-0013;04.02.2026;25.02.2026;Bewilligung;SG 50-2-3
AST-2026-0014;05.02.2026;23.02.2026;Bewilligung;SG 50-2-1
AST-2026-0015;06.02.2026;03.03.2026;Bewilligung;SG 50-2-1
AST-2026-0016;09.02.2026;27.04.2026;Bewilligung;SG 50-2-3
AST-2026-0017;10.02.2026;03.03.2026;Bewilligung;SG 50-2-1
AST-2026-0018;10.02.2026;09.04.2026;Teilbewilligung;SG 50-2-3
AST-2026-0019;13.02.2026;05.03.2026;Bewilligung;SG 50-2-1
AST-2026-0020;16.02.2026;12.03.2026;Bewilligung;SG 50-2-2
AST-2026-0021;21.02.2026;10.03.2026;Bewilligung;SG 50-2-1
AST-2026-0022;22.02.2026;04.03.2026;Teilbewilligung;SG 50-2-3
AST-2026-0023;27.02.2026;13.05.2026;Teilbewilligung;SG 50-2-1
AST-2026-0024;27.02.2026;20.03.2026;Bewilligung;SG 50-2-1
AST-2026-0025;28.02.2026;12.03.2026;Bewilligung;SG 50-2-2
AST-2026-0026;28.02.2026;13.05.2026;Teilbewilligung;SG 50-2-2
AST-2026-0027;01.03.2026;10.03.2026;Bewilligung;SG 50-2-2
AST-2026-0028;01.03.2026;24.03.2026;Ablehnung;SG 50-2-1
AST-2026-0029;02.03.2026;13.03.2026;Bewilligung;SG 50-2-3
AST-2026-0030;06.03.2026;23.03.2026;Ablehnung;SG 50-2-1
AST-2026-0031;07.03.2026;28.04.2026;Teilbewilligung;SG 50-2-3
AST-2026-0032;08.03.2026;03.04.2026;Teilbewilligung;SG 50-2-2
AST-2026-0033;10.03.2026;19.05.2026;Ablehnung;SG 50-2-3
AST-2026-0034;13.03.2026;24.05.2026;Ablehnung;SG 50-2-1
AST-2026-0035;14.03.2026;27.03.2026;Bewilligung;SG 50-2-3
AST-2026-0036;16.03.2026;07.04.2026;Teilbewilligung;SG 50-2-1
AST-2026-0037;18.03.2026;19.05.2026;Teilbewilligung;SG 50-2-2
AST-2026-0038;20.03.2026;06.05.2026;Bewilligung;SG 50-2-1
AST-2026-0039;23.03.2026;06.04.2026;Bewilligung;SG 50-2-3
AST-2026-0040;25.03.2026;25.04.2026;Ablehnung;SG 50-2-1
AST-2026-0041;28.03.2026;09.05.2026;Bewilligung;SG 50-2-2
AST-2026-0042;31.03.2026;24.05.2026;Bewilligung;SG 50-2-2
AST-2026-0043;05.04.2026;10.06.2026;Bewilligung;SG 50-2-2
AST-2026-0044;10.04.2026;14.05.2026;Bewilligung;SG 50-2-3
AST-2026-0045;12.04.2026;28.06.2026;Teilbewilligung;SG 50-2-1
AST-2026-0046;13.04.2026;25.04.2026;Teilbewilligung;SG 50-2-3
AST-2026-0047;17.04.2026;27.04.2026;Bewilligung;SG 50-2-3
AST-2026-0048;20.04.2026;23.06.2026;Ablehnung;SG 50-2-2
AST-2026-0049;21.04.2026;10.05.2026;Ablehnung;SG 50-2-1
AST-2026-0050;21.04.2026;30.05.2026;Teilbewilligung;SG 50-2-2
AST-2026-0051;01.05.2026;08.05.2026;Ablehnung;SG 50-2-3
AST-2026-0052;01.05.2026;30.06.2026;Teilbewilligung;SG 50-2-1
AST-2026-0053;02.05.2026;16.05.2026;Teilbewilligung;SG 50-2-2
AST-2026-0054;02.05.2026;17.05.2026;Bewilligung;SG 50-2-2
AST-2026-0055;04.05.2026;19.05.2026;Teilbewilligung;SG 50-2-1
AST-2026-0056;04.05.2026;29.06.2026;Teilbewilligung;SG 50-2-3
AST-2026-0057;06.05.2026;16.06.2026;Bewilligung;SG 50-2-3
AST-2026-0058;08.05.2026;24.05.2026;Teilbewilligung;SG 50-2-1
AST-2026-0059;08.05.2026;27.05.2026;Bewilligung;SG 50-2-3
AST-2026-0060;09.05.2026;16.06.2026;Ablehnung;SG 50-2-1
