Zeitstempel_MESZ;Plattform;Konto_oder_Akteur;Datei;Aktion;Kennzeichnung_sichtbar;Abrufe_kumuliert
05.06.2026 18:40;Klipstream;@stadtwende_hb;hb_kandidat_baustelle_v2.mp4;Upload;nein;0
05.06.2026 23:00;Klipstream;@stadtwende_hb;hb_kandidat_baustelle_v2.mp4;Reichweiten-Snapshot;nein;12400
06.06.2026 09:12;EchoFeed;buergerforum.stadtwende;hb_kandidat_baustelle_v2.mp4;Upload;nein;0
06.06.2026 21:30;Klipstream;@stadtwende_hb;hb_kandidat_baustelle_v2.mp4;Reichweiten-Snapshot;nein;58200
06.06.2026 22:00;EchoFeed;buergerforum.stadtwende;hb_kandidat_baustelle_v2.mp4;Reichweiten-Snapshot;nein;9800
07.06.2026 16:05;Klipstream;@stadtwende_hb;hb_kandidat_rathausrede_v1.mp4;Upload;nein;0
07.06.2026 19:30;EchoFeed;buergerforum.stadtwende;hb_kandidat_baustelle_v2.mp4;Reichweiten-Snapshot;nein;24100
07.06.2026 20:00;Klipstream;@stadtwende_hb;hb_kandidat_baustelle_v2.mp4;Reichweiten-Snapshot;nein;141500
07.06.2026 20:00;Klipstream;@stadtwende_hb;hb_kandidat_rathausrede_v1.mp4;Reichweiten-Snapshot;nein;18300
08.06.2026 21:00;Klipstream;@stadtwende_hb;hb_kandidat_baustelle_v2.mp4;Reichweiten-Snapshot;nein;239300
08.06.2026 21:00;Klipstream;@stadtwende_hb;hb_kandidat_rathausrede_v1.mp4;Reichweiten-Snapshot;nein;41800
08.06.2026 21:15;EchoFeed;buergerforum.stadtwende;hb_kandidat_baustelle_v2.mp4;Reichweiten-Snapshot;nein;35600
08.06.2026 22:41;Klipstream;Kanzlei Stollberg;hb_kandidat_baustelle_v2.mp4;Meldung ueber Beschwerdeformular;nein;239300
09.06.2026 09:05;Klipstream;@stadtwende_hb;hb_kandidat_baustelle_v2.mp4;Reichweiten-Snapshot;nein;302700
09.06.2026 09:05;Klipstream;@stadtwende_hb;hb_kandidat_rathausrede_v1.mp4;Reichweiten-Snapshot;nein;66200
09.06.2026 09:10;EchoFeed;buergerforum.stadtwende;hb_kandidat_baustelle_v2.mp4;Reichweiten-Snapshot;nein;43500
09.06.2026 10:15;Klipstream;@stadtwende_hb;hb_kandidat_baustelle_v2.mp4;Beschreibungstext geaendert (Zusatz Satire);ja (nur Beschreibungstext);302700
09.06.2026 10:21;Klipstream;@stadtwende_hb;hb_kandidat_rathausrede_v1.mp4;Beschreibungstext geaendert (Zusatz Satire);ja (nur Beschreibungstext);66200
09.06.2026 10:34;EchoFeed;buergerforum.stadtwende;hb_kandidat_baustelle_v2.mp4;Beschreibungstext geaendert (Zusatz Satire);ja (nur Beschreibungstext);43500
11.06.2026 14:30;Klipstream;Plattform-Moderation;hb_kandidat_baustelle_v2.mp4;Entfernung nach Plattformpruefung;entfaellt;384900
11.06.2026 14:30;Klipstream;Plattform-Moderation;hb_kandidat_rathausrede_v1.mp4;Entfernung nach Plattformpruefung;entfaellt;84100
12.06.2026 08:55;EchoFeed;Plattform-Moderation;hb_kandidat_baustelle_v2.mp4;Entfernung nach Plattformpruefung;entfaellt;51200
