Alert_ID;Zeitstempel;Agent_ID;Emotions_Label;Stress_Score;Alert_Stufe;Massnahme_ID
AL-0001;06.10.2025 17:18;AGT-0114;Frustration;68;gelb;
AL-0002;06.10.2025 17:28;AGT-0124;Aerger;77;gelb;M-0001
AL-0003;07.10.2025 10:09;AGT-0112;Anspannung;72;gelb;M-0002
AL-0004;08.10.2025 15:01;AGT-0110;Frustration;89;rot;M-0003
AL-0005;09.10.2025 08:38;AGT-0106;Anspannung;97;rot;M-0004
AL-0006;09.10.2025 12:11;AGT-0115;Erschoepfung;64;gelb;M-0005
AL-0007;10.10.2025 18:07;AGT-0109;Stress hoch;61;gelb;M-0006
AL-0008;10.10.2025 19:59;AGT-0104;Monotonie;75;gelb;M-0007
AL-0009;11.10.2025 08:39;AGT-0104;Monotonie;87;rot;
AL-0010;13.10.2025 08:36;AGT-0121;Stress hoch;72;gelb;M-0008
AL-0011;13.10.2025 10:36;AGT-0123;Anspannung;61;gelb;M-0009
AL-0012;14.10.2025 14:35;AGT-0112;Aerger;92;rot;M-0010
AL-0013;14.10.2025 16:23;AGT-0103;Anspannung;79;gelb;M-0011
AL-0014;16.10.2025 11:14;AGT-0102;Aerger;96;rot;M-0012
AL-0015;18.10.2025 09:03;AGT-0109;Monotonie;84;rot;M-0013
AL-0016;18.10.2025 14:27;AGT-0107;Erschoepfung;65;gelb;M-0014
AL-0017;20.10.2025 17:48;AGT-0109;Anspannung;71;gelb;M-0015
AL-0018;21.10.2025 13:59;AGT-0109;Frustration;96;rot;M-0016
AL-0019;21.10.2025 18:32;AGT-0102;Aerger;80;rot;
AL-0020;22.10.2025 10:29;AGT-0123;Erschoepfung;67;gelb;
AL-0021;22.10.2025 13:20;AGT-0104;Anspannung;81;rot;
AL-0022;24.10.2025 09:33;AGT-0112;Anspannung;67;gelb;
AL-0023;24.10.2025 14:15;AGT-0109;Frustration;90;rot;M-0017
AL-0024;27.10.2025 15:56;AGT-0115;Stress hoch;61;gelb;M-0018
AL-0025;27.10.2025 17:42;AGT-0109;Aerger;94;rot;
AL-0026;28.10.2025 10:57;AGT-0120;Erschoepfung;81;rot;M-0019
AL-0027;28.10.2025 16:13;AGT-0119;Anspannung;82;rot;M-0020
AL-0028;30.10.2025 09:49;AGT-0102;Erschoepfung;71;gelb;
AL-0029;31.10.2025 10:18;AGT-0113;Stress hoch;71;gelb;M-0021
AL-0030;31.10.2025 10:19;AGT-0104;Monotonie;97;rot;
AL-0031;06.11.2025 14:22;AGT-0117;Aerger;78;gelb;
AL-0032;06.11.2025 19:01;AGT-0113;Erschoepfung;73;gelb;M-0022
AL-0033;08.11.2025 19:40;AGT-0123;Anspannung;94;rot;M-0023
AL-0034;10.11.2025 10:48;AGT-0105;Stress hoch;92;rot;M-0024
AL-0035;10.11.2025 17:07;AGT-0113;Anspannung;88;rot;M-0025
AL-0036;11.11.2025 09:21;AGT-0116;Anspannung;65;gelb;
AL-0037;11.11.2025 13:38;AGT-0107;Frustration;89;rot;
AL-0038;11.11.2025 19:56;AGT-0115;Erschoepfung;84;rot;
AL-0039;12.11.2025 15:20;AGT-0124;Stress hoch;86;rot;M-0026
AL-0040;12.11.2025 16:31;AGT-0110;Frustration;95;rot;M-0027
AL-0041;13.11.2025 12:29;AGT-0107;Erschoepfung;91;rot;M-0028
AL-0042;13.11.2025 13:31;AGT-0111;Erschoepfung;94;rot;M-0029
AL-0043;14.11.2025 16:12;AGT-0125;Aerger;91;rot;
AL-0044;17.11.2025 14:15;AGT-0113;Aerger;95;rot;M-0030
AL-0045;18.11.2025 18:30;AGT-0121;Aerger;70;gelb;M-0031
AL-0046;21.11.2025 15:14;AGT-0120;Anspannung;96;rot;M-0032
AL-0047;27.11.2025 08:46;AGT-0109;Anspannung;62;gelb;
AL-0048;27.11.2025 17:36;AGT-0103;Aerger;95;rot;M-0033
AL-0049;27.11.2025 18:16;AGT-0110;Stress hoch;67;gelb;M-0034
AL-0050;28.11.2025 16:49;AGT-0125;Monotonie;75;gelb;M-0035
AL-0051;29.11.2025 13:02;AGT-0125;Anspannung;68;gelb;M-0036
AL-0052;02.12.2025 19:03;AGT-0111;Stress hoch;85;rot;
AL-0053;03.12.2025 11:14;AGT-0120;Aerger;93;rot;M-0037
AL-0054;04.12.2025 15:09;AGT-0104;Frustration;66;gelb;M-0038
AL-0055;05.12.2025 14:04;AGT-0116;Stress hoch;68;gelb;M-0039
AL-0056;06.12.2025 14:44;AGT-0108;Stress hoch;95;rot;M-0040
AL-0057;06.12.2025 18:36;AGT-0116;Aerger;61;gelb;M-0041
AL-0058;08.12.2025 14:13;AGT-0103;Aerger;90;rot;
AL-0059;09.12.2025 12:52;AGT-0123;Erschoepfung;78;gelb;
AL-0060;09.12.2025 16:52;AGT-0121;Aerger;69;gelb;
AL-0061;10.12.2025 13:45;AGT-0108;Aerger;94;rot;
AL-0062;13.12.2025 19:48;AGT-0122;Anspannung;73;gelb;M-0042
AL-0063;15.12.2025 10:47;AGT-0117;Stress hoch;84;rot;
AL-0064;17.12.2025 10:08;AGT-0114;Anspannung;81;rot;
AL-0065;19.12.2025 12:02;AGT-0101;Monotonie;92;rot;
AL-0066;20.12.2025 12:13;AGT-0107;Anspannung;76;gelb;M-0043
AL-0067;20.12.2025 15:07;AGT-0112;Erschoepfung;62;gelb;M-0044
AL-0068;24.12.2025 10:12;AGT-0113;Aerger;84;rot;M-0045
AL-0069;25.12.2025 09:17;AGT-0116;Frustration;70;gelb;M-0046
AL-0070;25.12.2025 11:09;AGT-0125;Erschoepfung;70;gelb;M-0047
AL-0071;25.12.2025 17:25;AGT-0108;Aerger;85;rot;M-0048
AL-0072;26.12.2025 08:03;AGT-0120;Stress hoch;85;rot;
AL-0073;29.12.2025 13:32;AGT-0111;Stress hoch;66;gelb;M-0049
AL-0074;30.12.2025 12:25;AGT-0118;Stress hoch;73;gelb;M-0050
AL-0075;30.12.2025 16:31;AGT-0109;Erschoepfung;62;gelb;M-0051
AL-0076;31.12.2025 13:52;AGT-0110;Monotonie;84;rot;M-0052
AL-0077;02.01.2026 09:20;AGT-0113;Frustration;64;gelb;M-0053
AL-0078;02.01.2026 09:36;AGT-0101;Frustration;65;gelb;M-0054
AL-0079;06.01.2026 11:00;AGT-0112;Anspannung;85;rot;
AL-0080;08.01.2026 08:32;AGT-0116;Monotonie;92;rot;
AL-0081;08.01.2026 15:55;AGT-0111;Frustration;67;gelb;M-0055
AL-0082;08.01.2026 18:53;AGT-0111;Aerger;61;gelb;M-0056
AL-0083;09.01.2026 16:05;AGT-0117;Frustration;81;rot;M-0057
AL-0084;13.01.2026 09:14;AGT-0107;Monotonie;68;gelb;
AL-0085;14.01.2026 12:58;AGT-0108;Frustration;68;gelb;M-0058
AL-0086;15.01.2026 11:48;AGT-0121;Erschoepfung;95;rot;
AL-0087;15.01.2026 12:40;AGT-0124;Anspannung;66;gelb;
AL-0088;17.01.2026 12:01;AGT-0120;Frustration;92;rot;M-0059
AL-0089;19.01.2026 12:50;AGT-0118;Monotonie;76;gelb;M-0060
AL-0090;20.01.2026 17:37;AGT-0103;Monotonie;62;gelb;
AL-0091;22.01.2026 15:59;AGT-0120;Stress hoch;89;rot;
AL-0092;22.01.2026 19:52;AGT-0123;Monotonie;75;gelb;M-0061
AL-0093;23.01.2026 11:19;AGT-0121;Frustration;79;gelb;M-0062
AL-0094;24.01.2026 11:42;AGT-0105;Anspannung;65;gelb;M-0063
AL-0095;26.01.2026 11:31;AGT-0117;Aerger;88;rot;M-0064
AL-0096;28.01.2026 12:13;AGT-0122;Monotonie;94;rot;M-0065
AL-0097;29.01.2026 16:20;AGT-0121;Aerger;97;rot;
AL-0098;30.01.2026 13:01;AGT-0102;Aerger;91;rot;
AL-0099;30.01.2026 14:27;AGT-0124;Stress hoch;92;rot;M-0066
AL-0100;31.01.2026 09:29;AGT-0107;Monotonie;75;gelb;M-0067
AL-0101;31.01.2026 17:24;AGT-0111;Frustration;97;rot;
AL-0102;02.02.2026 18:26;AGT-0108;Erschoepfung;71;gelb;M-0068
AL-0103;04.02.2026 19:11;AGT-0109;Monotonie;91;rot;M-0069
AL-0104;07.02.2026 10:21;AGT-0106;Stress hoch;63;gelb;M-0070
AL-0105;09.02.2026 10:56;AGT-0110;Anspannung;66;gelb;
AL-0106;11.02.2026 12:29;AGT-0101;Aerger;72;gelb;M-0071
AL-0107;12.02.2026 19:04;AGT-0103;Stress hoch;72;gelb;M-0072
AL-0108;13.02.2026 17:54;AGT-0118;Erschoepfung;95;rot;
AL-0109;17.02.2026 10:27;AGT-0125;Anspannung;72;gelb;M-0073
AL-0110;18.02.2026 16:26;AGT-0111;Erschoepfung;71;gelb;M-0074
AL-0111;19.02.2026 13:06;AGT-0119;Stress hoch;87;rot;M-0075
AL-0112;20.02.2026 13:03;AGT-0114;Aerger;91;rot;M-0076
AL-0113;21.02.2026 17:18;AGT-0112;Anspannung;74;gelb;M-0077
AL-0114;21.02.2026 17:56;AGT-0122;Stress hoch;77;gelb;
AL-0115;23.02.2026 16:53;AGT-0110;Erschoepfung;97;rot;M-0078
AL-0116;24.02.2026 15:08;AGT-0112;Frustration;63;gelb;M-0079
AL-0117;24.02.2026 19:12;AGT-0109;Erschoepfung;62;gelb;
AL-0118;25.02.2026 14:17;AGT-0109;Stress hoch;77;gelb;M-0080
AL-0119;26.02.2026 08:34;AGT-0112;Erschoepfung;70;gelb;
AL-0120;26.02.2026 19:45;AGT-0113;Erschoepfung;79;gelb;
