Fall_ID;F1_Mitwirkung;F2_Termin;F3_Unterlagen;G1_Bibliothek;G2_Parken;G3_OePNV;G4_Abfall
BK-001;0;0;1;1;1;0;0
BK-002;1;1;0;1;1;0;1
BK-003;0;1;1;0;0;1;0
BK-004;1;0;1;1;1;1;0
BK-005;2;1;0;1;1;0;0
BK-006;1;1;1;1;0;1;1
BK-007;0;0;0;1;1;1;1
BK-008;2;2;1;1;1;1;0
BK-009;1;2;0;0;1;1;1
BK-010;3;1;1;1;1;1;1
BK-011;0;0;0;0;0;0;0
BK-012;1;0;0;1;0;0;0
BK-013;2;1;1;1;1;1;1
BK-014;1;1;0;1;1;0;0
BK-015;4;2;1;0;0;1;0
BK-016;0;1;0;1;1;1;1
BK-017;2;0;2;1;1;0;1
BK-018;1;1;1;1;1;1;1
BK-019;0;2;0;0;1;0;0
BK-020;3;2;1;1;1;1;0
BK-021;0;0;1;1;0;0;1
BK-022;1;0;0;0;1;1;0
BK-023;2;1;1;0;0;0;0
BK-024;5;2;1;1;1;1;1
BK-025;0;0;0;1;1;0;0
BK-026;1;1;1;0;1;1;1
BK-027;2;2;2;1;1;1;1
BK-028;0;1;0;1;0;1;0
BK-029;1;0;1;0;0;0;1
BK-030;3;3;1;1;1;1;1
