Datum,Stoßlüften (Anzahl),Dauer je Lüftung (Minuten),Heizung Bad (Stufe),Luftfeuchte Bad (%),Luftfeuchte Arbeitszimmer (%),Bemerkung (Abschrift aus dem Protokollheft)
03.11.2025,3,8,3,71,64,Hygrometer neu gekauft; Messung jeweils 19 Uhr
04.11.2025,3,10,3,69,63,Fensterlaibung Bad Nordwestecke fühlbar feucht
05.11.2025,2,10,3,73,66,vormittags außer Haus; abends Wasserperlen an Außenwand Bad
07.11.2025,3,10,3,70,65,Fleck hinter Badregal ca. handtellergroß; Foto gemacht
10.11.2025,4,10,4,72,66,trotz 4x Lüften kaum Änderung; Außentemperatur 4 Grad
12.11.2025,3,10,4,74,68,dunkler Rand an Silikonfuge Wanne; Fugenmesser zeigt 21 Grad Wandoberfläche Ecke nur 12.5 Grad
14.11.2025,3,10,4,71,64,Brief an Hausverwaltung wegen Handwerkertermin erneut ohne Antwort
17.11.2025,3,12,4,75,69,Regenwoche; Fleck im Arbeitszimmer hinter Bücherregal entdeckt ca. 30 mal 40 cm
19.11.2025,3,10,4,72,66,Nachbarin Frau Wittich 2. OG berichtet gleiche Stelle in ihrem Bad
21.11.2025,3,10,4,70,63,Möbel im Arbeitszimmer 10 cm von Außenwand abgerückt wie empfohlen
24.11.2025,3,10,4,73,67,keine Besserung; Oberflächentemperatur Ecke Bad 11.8 Grad gemessen
28.11.2025,3,10,4,74,68,Monatsende: Befall Bad größer geworden; Termin Mieterbund vereinbart
