datum;uhrzeit;witterung;lufttemperatur_grad;teilflaeche;methode;anzahl_adult;anzahl_subadult;anzahl_schlupflinge;bemerkung;kartierer
24.04.2025;09:40-12:10;sonnig, windstill;16;Bahndammböschung Nord;Sichtbeobachtung Transekt 1;7;3;0;davon 2 Männchen in Paarungsfärbung;Dr. Wendler-Faber
24.04.2025;12:20-13:35;sonnig, windstill;18;Schotterfläche Mitte;Blechplatten 1-12;4;1;0;Platte 7 fehlt, vermutlich entwendet;Dr. Wendler-Faber
16.05.2025;10:05-13:00;heiter, schwacher Wind;19;Bahndammböschung Nord;Sichtbeobachtung Transekt 1;9;2;0;ein Tier mit Schwanzregenerat fotografiert, Bildnummer ZE-2025-041;Böschke
16.05.2025;13:10-14:20;heiter, schwacher Wind;21;Südböschung am Wehrweg;Sichtbeobachtung Transekt 3;5;2;0;Teilfläche im Behördengutachten 2024 nicht untersucht;Böschke
27.06.2025;09:30-12:40;wolkig, nach Regen aufklarend;20;Schotterfläche Mitte;Blechplatten 1-20;6;4;0;Platten 13-20 neu ausgelegt am 02.06.2025;Dr. Wendler-Faber
27.06.2025;12:50-14:00;wolkig;22;Bahndammböschung Nord;Sichtbeobachtung Transekt 1;8;3;0;Überschneidung mit Vormonat möglich, keine Individualmarkierung;Dr. Wendler-Faber
04.09.2025;10:15-13:20;sonnig;23;Südböschung am Wehrweg;Sichtbeobachtung Transekt 3;4;3;11;Schlupflinge an zwei Eiablageplätzen, Sandlinsen kartiert als S1 und S2;Böschke
04.09.2025;13:30-15:00;sonnig;24;Schotterfläche Mitte;Blechplatten 1-20;3;2;6;unter Platte 4 zusätzlich eine Blindschleiche;Böschke
19.09.2025;09:50-12:30;heiter;17;Bahndammböschung Nord;Sichtbeobachtung Transekt 1;5;1;4;Herbstaktivität, ein Totfund adult weiblich am Fuß der Böschung, Ursache unklar;Dr. Wendler-Faber
19.09.2025;12:40-13:30;heiter;18;Ersatzhabitat Rummelsburger Heide (Kontrolle);Sichtbeobachtung;0;0;0;Sandmagerrasen erst teilweise angelegt, Gesteinshaufen nicht vorhanden;Dr. Wendler-Faber
