Buchungstag;Wertstellung;Buchungstext;Auftraggeber oder Empfänger;Verwendungszweck;Betrag EUR;Saldo EUR
02.02.2026;02.02.2026;Gutschrift Überweisung;Erzeugergemeinschaft Niederrhein Bio eG;Abrechnung Kartoffeln KW 03-04, Abrn. 2026-0119;34862,40;131204,17
03.02.2026;03.02.2026;Lastschrift;Raiffeisen Warengenossenschaft Sonsbeck;Sammelrechnung Januar, Kundennr. 40233;-8917,55;122286,62
05.02.2026;05.02.2026;Dauerauftrag;LVR Liegenschaftsverwaltung;Pacht Februar Schwalmaue, Vertrag LVR-P-2019-114, Zahlung unter Vorbehalt;-2291,67;119994,95
10.02.2026;10.02.2026;Überweisung;Rechtsanwalt Dr. Eberhard Faulhammer;Vorschussrechnung 2026-031;-4760,00;115234,95
13.02.2026;13.02.2026;Lastschrift;Volksbank Niederrhein eG;Zins und Tilgung Investitionsdarlehen 6220144, Rate Februar;-5833,33;109401,62
17.02.2026;17.02.2026;Gutschrift Überweisung;Naturschutzstation Schwalmaue e.V.;Beweidungsentgelt Galloway 1. Halbjahr, Teilbetrag;4200,00;113601,62
20.02.2026;20.02.2026;Sammelüberweisung Lohn;Lohnlauf Februar Festangestellte;darin Kaminski und Kleine;-24318,74;89282,88
24.02.2026;24.02.2026;Gutschrift Überweisung;Biogroßhandel Rheinland GmbH;Zwiebeln Charge 2025-Z-44, Rechnung 2026-088;9714,20;98997,08
26.02.2026;26.02.2026;Lastschrift;Kreis Wesel, Kreiskasse;Gebührenbescheid Veterinäramt 32-2026-0107;-486,00;98511,08
27.02.2026;27.02.2026;Überweisung;Schulze & Partner Steuerberater;Abschlagsrechnung Jahresabschluss WJ 2024/2025;-3213,00;95298,08
27.02.2026;01.03.2026;Lastschrift;Provinzial Versicherung;Beitrag Ertragsschadenversicherung Q1;-1098,08;94200,00
