posten,betrag_monat_eur,quelle,anmerkung
Grundsteuer und Gebäudeversicherung Haus Voltmerstraße,118.00,Bescheide 2026,Eigenheim ist abbezahlt
Heizung und Strom,236.00,Abschlag Stadtwerke,Erhöhung zum 01.05.2026 enthalten
Lebensmittel und Haushalt,470.00,Schätzung Ellersen,vom Ehemann auf 520 geschätzt
Pkw (Steuer Versicherung Kraftstoff),182.00,Unterlagen Ellersen,ein Fahrzeug
Kranken- und Pflegeversicherung Ehemann,0.00,noch offen,Ehemann fragt Betrag bei seiner Kasse an
Haftpflicht- Hausrat- und Unfallversicherung,54.50,Beitragsrechnungen,jährliche Zahlweise umgerechnet
Rücklage Dachsanierung,300.00,eigener Ansatz,Kostenvoranschlag 28400 EUR; 9000 EUR Erspartes vorhanden
Telefon Internet Rundfunk,63.40,Rechnungen,unverändert seit 2024
Zuschuss an Enkelin (Ausbildung),100.00,Dauerauftrag,läuft nach Angabe Ellersen bis Sommer 2027
Freizeit Garten Sonstiges,150.00,Schätzung Ellersen,stark schwankend
