zeitraum_von,zeitraum_bis,kategorie,kontostand_drv,beleglage,streitpunkt
1982-09,1990-06,beschaeftigung,Pflichtbeitragszeit,vollstaendig gemeldet,keiner
1990-07,1992-08,beschaeftigung Nordstahl,ungeklaert,AG-Bescheinigung 12.07.1992; 3 Lohnabrechnungen; AOK-Mitgliedsbescheinigung 09.02.1994,Arbeitgebermeldung fehlt; Firma 1994 liquidiert; Einzugsstellen-Anfrage laeuft
1992-09,2000-12,beschaeftigung Foerdewerft,Pflichtbeitragszeit,vollstaendig gemeldet,keiner
2001-01,2001-10,minijob Baeckerei Petersen,ungeklaert,8 Kontoauszuege je 610 DM; Weihnachtskarte; Zeugin Clausen,Entgeltmeldung fehlt; Mai und Juni ohne Beleg; rentenrechtliche Wirkung offen
2001-11,2009-10,beschaeftigung Foerdewerft,Pflichtbeitragszeit,vollstaendig gemeldet,keiner
2009-11,2010-02,pflege Vater,ungeklaert,Pflegekassenbescheinigung 03.05.2011,Pflegekasse zahlte erst ab 03/2010; Korrektur rueckwirkend moeglich?
2010-03,2011-04,pflege Vater,ungeklaert,Pflegekassenbescheinigung 03.05.2011,Beitraege laut Kasse abgefuehrt aber nicht im Konto; Zuordnungsfehler klaeren
2011-05,2014-07,beschaeftigung Foerdewerft,Pflichtbeitragszeit,vollstaendig gemeldet bis Betriebsschliessung,keiner
2014-08,2015-03,arbeitslosigkeit,Anrechnungszeit,Alg-Bescheid 21.08.2014; Abmeldebestaetigung 02.04.2015,als Anrechnungszeit statt Pflichtbeitragszeit gespeichert; Zaehlung fuer 45 Jahre pruefen
2015-04,2026-04,beschaeftigung Nordische Schiffstechnik,Pflichtbeitragszeit,laufend gemeldet,keiner
