monat,brutto_entgelt,drv_an_anteil,versorgungswerk_beitrag,bemerkung
2024-03,6686.00,621.80,585.00,Doppelzahlung seit Beschaeftigungsbeginn
2024-04,6686.00,621.80,585.00,Befreiungsantrag 15.04.2024 gestellt
2024-05,6686.00,621.80,585.00,
2024-06,6686.00,621.80,585.00,
2024-07,6686.00,621.80,585.00,
2024-08,6686.00,621.80,585.00,
2024-09,6686.00,621.80,585.00,
2024-10,6686.00,621.80,585.00,
2024-11,6686.00,621.80,585.00,
2024-12,6686.00,621.80,585.00,
2025-01,6686.00,621.80,585.00,DRV-Zwischennachricht: Bearbeitung dauert an
2025-02,6686.00,621.80,585.00,
2025-03,6686.00,621.80,585.00,
2025-04,6686.00,621.80,585.00,
2025-05,6686.00,621.80,585.00,
2025-06,6686.00,621.80,585.00,
2025-07,6686.00,621.80,585.00,
2025-08,6686.00,621.80,585.00,
2025-09,6686.00,621.80,585.00,
2025-10,6686.00,621.80,585.00,
2025-11,6686.00,621.80,585.00,
2025-12,6686.00,621.80,585.00,
2026-01,6970.00,648.21,612.00,Gehaltserhoehung; Versorgungswerk hebt Satzungsbeitrag an
2026-02,6970.00,648.21,612.00,Stellungnahme im Anhoerungsverfahren 09.02.2026
2026-03,6970.00,648.21,612.00,
2026-04,6970.00,648.21,612.00,
2026-05,6970.00,648.21,612.00,Ablehnungsbescheid 08.05.2026; Widerspruch 18.05.2026
2026-06,6970.00,648.21,612.00,Widerspruchsbescheid 10.06.2026; Klagefrist bis 13.07.2026
