monat;phase;status_formal;teilnahme_tatsächlich;rente_gezahlt;einkommen_monat
2025-04;Ausbildung Physiotherapie;angemeldet;regulär;307.10;0.00
2025-05;Ausbildung Physiotherapie;angemeldet;regulär;307.10;0.00
2025-06;Ausbildung Physiotherapie;angemeldet;regulär;307.10;0.00
2025-07;Ausbildung Physiotherapie;angemeldet;regulär;307.10;0.00
2025-08;Ausbildung Physiotherapie;angemeldet;regulär;307.10;0.00
2025-09;Ausbildung Physiotherapie;angemeldet;regulär;307.10;0.00
2025-10;Ausbildung Physiotherapie;angemeldet;teilnahme_bis_14.10_dann_abwesend;307.10;0.00
2025-11;Ausbildung Physiotherapie;angemeldet_bis_30.11;durchgehend_abwesend_krank;307.10;0.00
2025-12;nach Kündigung;abgemeldet;keine;307.10;0.00
2026-01;Lücke;abgemeldet;keine;307.10;468.00
2026-02;Lücke;abgemeldet;keine;307.10;468.00
2026-03;Lücke;abgemeldet;keine;307.10;468.00
2026-04;Lücke;abgemeldet;keine;307.10;468.00
2026-05;Lücke;abgemeldet;keine;307.10;468.00
2026-06;Lücke;abgemeldet;keine;307.10;468.00
2026-07;Lücke;abgemeldet;keine;0.00;468.00
2026-08;Lücke;abgemeldet;keine;0.00;468.00
2026-09;Einarbeitung Praxisstelle;praxisvertrag;einarbeitung_20h;0.00;450.00
2026-10;Duales Studium;studienvertrag;studium;0.00;940.00
