Buchungstag;Wertstellung;Auftraggeber_Empfänger;Verwendungszweck;Betrag_EUR;Saldo_EUR
30.04.2026;30.04.2026;Sammelüberweisung Gehälter;Löhne und Gehälter April 2026, 12 Mitarbeiter;-52.800,00;187.200,00
10.05.2026;10.05.2026;Finanzamt Berlin-Charlottenburg;USt-Voranmeldung Q1 2026, St.-Nr. 27/118/04188;-18.500,00;168.700,00
12.05.2026;12.05.2026;Boutique Amsel e.U. Wien;Rechnung 2026-0117 Restposten Frühjahr;+8.900,00;177.600,00
15.05.2026;15.05.2026;Modemüller Berlin GmbH;Rechnungsausgleich Sortiment Winter 2025, ohne Skonto;-38.500,00;139.100,00
15.05.2026;15.05.2026;Schneiderei Berlin;Änderungsdienstleistungen lt. Aufstellung;-6.400,00;132.700,00
15.05.2026;15.05.2026;Reinigung Charlottenburg;Reinigung Lager und Büro, Schlussrechnung;-3.200,00;129.500,00
15.05.2026;15.05.2026;Sammelüberweisung;Abfindungen nach Aufhebungsvertrag, 12 Mitarbeiter;-14.400,00;115.100,00
15.05.2026;15.05.2026;Finanzamt Berlin-Charlottenburg;Restzahlung USt Veranlagung 2025;-9.200,00;105.900,00
18.05.2026;18.05.2026;Logistik Berlin-Brandenburg GmbH;Frachtkosten Q1 2026;-14.800,00;91.100,00
19.05.2026;19.05.2026;Modehaus Grellmann;Rechnung 2026-0121, Teilzahlung;+12.400,00;103.500,00
20.05.2026;20.05.2026;Stoffhaus Wittenberg;Rechnungsausgleich Saison Frühjahr 2026;-42.100,00;61.400,00
22.05.2026;22.05.2026;Helene Strassburger-Wittenburg;Einzahlung Liquiditätshilfe lt. gesonderter Vereinbarung;+50.000,00;111.400,00
25.05.2026;25.05.2026;Vertrieb Süd GmbH;Rückabwicklung Konsignationsware;-28.200,00;83.200,00
25.05.2026;25.05.2026;Sammelüberweisung SV;SV-Beiträge April/Mai 2026 AOK TK Knappschaft;-11.600,00;71.600,00
25.05.2026;25.05.2026;Finanzamt Berlin-Charlottenburg;KSt-Vorauszahlung 2025 lt. Schätzung;-42.000,00;29.600,00
25.05.2026;25.05.2026;Finanzamt Berlin-Charlottenburg;GewSt-Vorauszahlung 2025 lt. Schätzung;-14.800,00;14.800,00
25.05.2026;25.05.2026;Finanzamt Berlin-Charlottenburg;Solidaritätszuschlag KSt 2025;-2.310,00;12.490,00
28.05.2026;28.05.2026;Sammelgutschrift Forderungseinzug;Kundenzahlungen lt. Anlage, 6 Posten Q1 2026;+21.700,00;34.190,00
29.05.2026;31.05.2026;Sammelüberweisung Gehälter;Löhne Mai 2026 anteilig bis 15.05., Aufhebung;-28.000,00;6.190,00
