position,betrag_eur,beantragter_traeger,bewilligt_eur,streitpunkt
Aufmass statische Kurzpruefung Werkplanung,620.00,Pflegekasse,0.00,notwendige Planungsleistung fuer die feste Rampe
Stahlrampe verzinkt rutschhemmender Belag,3980.00,Pflegekasse,0.00,funktional bessere und dauerhafte Loesung
Handlauf beidseitig Zwischenholm,940.00,Pflegekasse,0.00,Sturzrisiko und Gehstocknutzung
Fundament Pflasteranpassung Entwaesserungsrinne,1680.00,Pflegekasse oder Sozialamt,0.00,bauliche Notwendigkeit fuer Wintertauglichkeit
Montage Anfahrt Entsorgung,700.00,Pflegekasse oder Sozialamt,0.00,ohne Montage keine nutzbare Massnahme
Summe feste Rampe,7920.00,mehrere Traeger,0.00,Angebot Teschner vom 14.05.2026
Mobile Teleskopschienen Alternative,1180.00,Pflegekasse,1180.00,nur mit Hilfsperson nutzbar
Gesetzlicher Hoechstzuschuss 40 Absatz 4 SGB XI,4000.00,Pflegekasse,0.00,Hoechstbetrag je Massnahme
Rueckstand Bescheid zu Hoechstzuschuss,2820.00,Pflegekasse,0.00,4000 minus 1180
Eigenanteil bei Hoechstzuschuss,3920.00,Mandantin oder Sozialamt,0.00,7920 minus 4000
Finanzierungsluecke bei jetzigem Bescheid,6740.00,offen,0.00,7920 minus 1180
