Monat;Vertrag_EUR;Eingang_EUR;Verwalterhonorar_EUR;Auskehrung_EUR;Zielkonto;Besonderheit
Januar;1280;1280;102.40;1177.60;Banca Emiliana;
Februar;1280;1280;102.40;1177.60;Banca Emiliana;
März;1280;1080;102.40;977.60;Banca Emiliana;Notdienstabzug 200
April;1280;1280;102.40;1177.60;deutsches Konto;
Mai;1280;1280;102.40;1177.60;Banca Emiliana;
Juni;1280;1280;102.40;1177.60;Banca Emiliana;
Juli;1280;1280;102.40;1177.60;Banca Emiliana;
August;1280;1280;102.40;1177.60;deutsches Konto;
September;1280;1280;102.40;1177.60;Banca Emiliana;
Oktober;1280;1280;102.40;1177.60;Banca Emiliana;
November;1280;1280;102.40;1177.60;Banca Emiliana;
Dezember;1280;1120;89.60;1030.40;Banca Emiliana;Gerüstminderung 160
